date,meeting_date,sharpe_positive,sharpe_negative,sharpe_net
2011-01-08,2011-01-26,,,
2011-03-04,2011-03-15,,,
2011-04-14,2011-04-27,0.008306254917373974,2.93729573872791,-1.0736409325411436
2011-06-14,2011-06-22,2.228480947151841,1.473734066051326,1.231118781904586
2011-06-29,2011-08-09,-1.0307191015483272,2.134830191025898,-3.091220969744995
2011-09-15,2011-09-21,0.22998668172860923,0.7935084050573241,-0.2943486842881436
2011-10-22,2011-11-02,-0.29944033824293487,1.0392815627611114,-0.921671359098647
2011-11-29,2011-12-13,0.46684957309613007,1.0966816385343054,-0.35482940010051756
2012-01-16,2012-01-25,0.3251906885915451,-0.10354507893501837,0.3300844900252551
2012-03-01,2012-03-13,-0.04063050341449655,-1.49953149524144,1.0208916752783697
2012-04-13,2012-04-25,-1.001996695837291,1.7599653105007562,-2.057651005105378
2012-06-12,2012-06-20,-0.9603956896614942,-0.6065555249112753,-0.19791052770007106
2012-07-24,2012-08-01,5.801511551011698,-2.2043577040877693,5.554439727897385
2012-08-31,2012-09-13,1.2465059310964832,-1.7290046131167238,1.6618159907783967
2012-10-14,2012-10-24,-0.6262569981077495,0.6994184176019543,-0.7431625058169057
2012-12-04,2012-12-12,-1.288819624687325,-1.0814440118164432,-0.3747456056304531
2013-01-04,2013-01-30,-0.954609937211209,-1.2269108533055082,-0.09640764709420782
2013-03-08,2013-03-20,-0.9394001642408856,1.5339557023160977,-1.4372606604451552
2013-04-19,2013-05-01,0.40782831004884057,1.3306881363621463,-0.37356591616526047
2013-06-06,2013-06-19,-0.2039601218525447,0.05125810448849907,-0.17002353892830696
2013-07-17,2013-07-31,1.0617909669400303,-1.7234200389911964,1.6393304155564008
2013-07-17,2013-09-18,5.847408951392644,-3.306048561126888,5.69241297753696
2013-10-18,2013-10-30,-0.14238665985387985,0.5477643015119605,-0.31885229013097377
2013-12-16,2013-12-18,-0.5965103918890596,-0.8019937819079059,-0.08660054143098582
2014-01-03,2014-01-29,-0.9330665644789155,-1.2811190363085703,-0.12242264048414808
2014-03-05,2014-03-19,0.15871393171686915,-0.9172250454558951,0.5007703928507289
2014-04-15,2014-04-30,-0.2727796422463117,0.7242221185976309,-0.5022852599856846
2014-06-09,2014-06-18,-0.45310960172690823,0.510725902010289,-0.5376476852113743
2014-07-10,2014-07-30,-1.0087696331686393,1.3764323209753977,-1.2987303755343629
2014-09-04,2014-09-17,-0.8018351657450792,2.7249640976939147,-1.7323897135777728
2014-10-20,2014-10-29,0.09543474498060985,-0.2972537180455973,0.20060947254991585
2014-12-03,2014-12-17,-0.5606990393149618,-0.5229729880311719,-0.13183663402101264
2015-01-20,2015-01-28,0.20764344243213217,-1.368798923497671,0.7731068477767676
2015-03-03,2015-03-18,-0.7152913922663687,0.3326263828546309,-0.6313580706648042
2015-04-08,2015-04-29,-1.2414176795694079,1.4777675044461929,-1.5194669761970525
2015-06-02,2015-06-17,-0.12609041140668584,0.26667199967668637,-0.20805159577319002
2015-07-10,2015-07-29,0.1992641301066335,0.8497985134366223,-0.2682608828574087
2015-08-29,2015-09-17,-0.7603898377279668,-2.161100450640668,0.5249486915709888
2015-10-20,2015-10-28,-1.050834745415251,-0.9164873462559627,-0.23344690505151153
2015-12-03,2015-12-16,-0.9967382384085061,-0.6372866741448918,-0.3434158824950019
2016-01-03,2016-01-27,-2.0619096903827354,1.7100865808063324,-2.262010771812442
2016-03-07,2016-03-16,-1.5961162678925471,-0.43654106417111627,-0.8516757896536812
2016-04-14,2016-04-27,-0.5151971705354353,-0.8639597426823292,0.07322378571322352
2016-06-06,2016-06-15,0.10187615789687735,-0.3853532517241688,0.26127274970696823
2016-07-12,2016-07-27,-0.7270896128590376,0.9156198136698476,-0.9534757951339493
2016-09-12,2016-09-21,-1.1723740584245994,0.34876804445246673,-0.9732275517724909
2016-10-24,2016-11-02,-1.284834022811341,0.742481248514043,-1.246297721953093
2016-12-02,2016-12-14,-1.1472621973553814,-0.2434149604865013,-0.6686998073672451
2017-01-19,2017-02-01,0.3320880192543534,-0.5957895628737995,0.5189778232144139
2017-03-03,2017-03-15,-0.7387657982833518,-1.3448752920281788,0.14224490411433235
2017-04-28,2017-05-03,-0.75157008105043,0.07103942512437197,-0.5574765828405063
2017-06-01,2017-06-14,1.0993422134130517,-0.28283840576565367,0.9053837648701555
2017-07-13,2017-07-26,-0.5246435102256909,-0.13543125334804929,-0.3006676265062985
2017-09-05,2017-09-20,-0.6051676413791683,-0.17181382615652177,-0.33999316449437555
2017-10-20,2017-11-01,-1.3998640929989763,-0.9587543546949255,-0.5147113273963293
2017-11-30,2017-12-13,0.1721348995695316,-1.6921481289682314,0.954410793169513
2018-01-19,2018-01-31,2.0757534586736264,1.1707863703751333,0.8832662849616414
2018-03-06,2018-03-21,2.19387547704659,-1.5264019418168147,2.3668763386945266
2018-04-19,2018-05-02,0.210589651130794,-0.6130855400976373,0.4525489970506932
2018-05-31,2018-06-13,0.6086213180000853,-0.9051124507010643,0.8838723159990738
2018-07-19,2018-08-01,-0.06475993461857914,-0.24441542806892158,0.07310063535443903
2018-09-12,2018-09-26,-2.3375238352923358,-1.6352457659087123,-0.8836650354228177
2018-10-25,2018-11-08,-0.07828286802117317,-1.31859828169844,0.5978767753943109
2018-12-07,2018-12-19,-0.35337314268111464,-0.38584434351073904,-0.0693485723421726
2019-01-10,2019-01-30,-0.051810908031607136,-1.6860802761476303,0.8109056419676886
2019-03-12,2019-03-20,1.0253549531727664,-1.4679223749957668,1.5136082967104236
2019-04-11,2019-05-01,1.1647651747815457,-0.4889313481256145,1.1073265392135825
2019-06-05,2019-06-19,-1.4258262412982825,-0.7488834721767836,-0.6697468637227909
2019-07-16,2019-07-31,0.5135330240791254,-0.5000275688199582,0.6369088810881328
2019-09-05,2019-09-18,1.468908362483402,-0.8099031711318148,1.5047726044614715
2019-10-21,2019-10-30,0.008177945369558074,-0.6155094335044837,0.3151391584266043
2019-11-26,2019-12-11,-0.7693040880428713,-0.4976124320723799,-0.32147134913789627
2020-01-17,2020-01-29,0.48020403937836165,-1.063193335359929,0.8936130264961794
2020-02-27,2020-03-03,0.8099579211200527,-1.129186199643091,1.1717303359139895
2020-02-27,2020-03-15,3.968631076081179,-2.2527621524269383,4.070583425692627
2020-04-09,2020-04-29,4.41397632498579,2.207329445456517,2.2082664371189695
2020-05-21,2020-06-10,0.8486708211739072,0.11116684493776002,0.6269449378878873
2020-07-14,2020-07-29,0.27466869016294043,0.8245134704469931,-0.1673085608211707
2020-09-01,2020-09-16,-0.35202628266018837,-1.0001792831479281,0.189741166222698
2020-10-21,2020-11-05,0.5827535015940751,-0.26265324920962796,0.5926575011429304
2020-12-11,2020-12-16,0.8752984023546091,-0.6476268245809401,1.0098182648812501
2021-01-13,2021-01-27,-1.281586777043171,-0.33070165508543475,-0.8710472957192575
2021-03-02,2021-03-17,0.14043802857989504,0.17907394868162835,0.02891334945941542
2021-04-14,2021-04-28,-0.14474535822979892,-0.4853523232288323,0.11176707853782028
2021-06-03,2021-06-16,0.2990731821960301,-1.2895144890013606,0.8487822881775191
2021-07-11,2021-07-28,1.3575279945172312,-0.6205208873696911,1.3841813229159035
2021-09-09,2021-09-22,0.31421246379829815,-0.9406059854530339,0.6940159279898778
2021-10-22,2021-11-03,0.26287132288470266,-0.995848519761852,0.6793740591751265
2021-12-02,2021-12-15,0.5556389661852857,-0.04963897561130527,0.467453069520088
2021-12-17,2022-01-26,-0.0794199632534678,1.2794313757666826,-0.6669290794061506
2022-02-24,2022-03-16,0.3047930445987092,-1.149284999502395,0.7887377458071073
2022-04-05,2022-05-04,-0.7159464454005755,-0.6603073147468924,-0.25462932384279635
2022-06-03,2022-06-15,-0.1169857457927893,-0.8847842629623475,0.32929014158300013
2022-07-19,2022-07-27,0.4361553681325929,0.1775141170078708,0.2624252612531684
2022-09-09,2022-09-21,0.22302203381782568,0.3338144085070173,0.017839960025285862
2022-10-20,2022-11-02,-0.26242052188193077,-0.5872451802418529,0.07230898948101605
2022-12-01,2022-12-14,0.3960376173858537,-0.18552152277896333,0.40505815957223784
2023-01-21,2023-02-01,0.5589567453589523,-0.9401102503431624,0.8971806930300232
2023-03-14,2023-03-22,1.1535770388232163,-0.561588411319464,1.1876086688219614
2023-04-21,2023-05-03,-0.056949647612573595,-0.8040790616105591,0.3387122958930108
