date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
1999-02-03,1999-02-03,speech,{'unknown'},0.009208543803691306,0.0023218572754595728,0.006886686528231733,1.5705100406457773e-06
1999-03-30,1999-03-30,speech,{'unknown'},0.011161934351716004,0.0030493944362935473,0.008112539915422457,1.642214557777825e-05
1999-05-18,1999-05-18,speech,{'unknown'},0.009751953788651036,0.0019367991845056064,0.00781515460414543,2.2718472686469273e-05
1999-06-30,1999-06-30,speech,{'unknown'},0.010587612493382742,0.0032645138521263453,0.007323098641256397,2.3321970195084067e-05
1999-08-24,1999-08-24,speech,{'unknown'},0.015311702515493984,0.0007291286912139992,0.014582573824279986,0.00033142213236999967
1999-10-05,1999-10-05,speech,{'unknown'},0.008598010907924286,0.002053256336220725,0.006544754571703561,1.9713116179830004e-05
1999-11-16,1999-11-16,speech,{'unknown'},0.008469228469892722,0.002258460925304726,0.006210767544587997,1.9228382490984513e-05
1999-12-21,1999-12-21,speech,{'unknown'},0.006949136183766046,0.0012547051442910915,0.005694431039474954,6.699330634676416e-05
2000-02-02,2000-02-02,speech,{'unknown'},0.006516699041293314,0.0033210100883514005,0.0031956889529419137,2.0354706706636392e-05
2000-03-21,2000-03-21,speech,{'unknown'},0.007237516110909151,0.0007601044317393172,0.006477411679169834,2.6766163963511707e-05
2000-05-16,2000-05-16,speech,{'unknown'},0.009439489616561422,0.0018444979710522317,0.00759499164550919,1.4605753164440752e-05
2000-06-28,2000-06-28,speech,{'unknown'},0.009648518263266712,0.0016621397008148538,0.007986378562451858,2.8625012768644657e-05
2000-08-22,2000-08-22,speech,{'unknown'},0.009143660981185159,0.0026375945138034113,0.0065060664673817475,9.710546966241416e-05
2000-10-03,2000-10-03,speech,{'unknown'},0.010837523842552453,0.0033813074388763654,0.007456216403676088,4.5464734168756636e-05
2000-11-15,2000-11-15,speech,{'unknown'},0.007881662993537783,0.0020544619177468157,0.005827201075790968,2.1906770961620177e-05
2000-12-19,2000-12-19,speech,{'unknown'},0.010717566602021026,0.0010207206287639074,0.00969684597325712,8.432039976745321e-05
2001-01-31,2001-01-31,speech,{'unknown'},0.007447248655357882,0.0004137360364087712,0.00703351261894911,0.00018509243734076607
2001-03-20,2001-03-20,speech,{'unknown'},0.008330781010719756,0.0011332312404287901,0.007197549770290965,2.3293041327802473e-05
2001-05-15,2001-05-15,speech,{'unknown'},0.008177473271265575,0.0011879437522446612,0.0069895295190209135,2.061808117705284e-05
2001-06-27,2001-06-27,speech,{'unknown'},0.008883087111563933,0.0020695364238410598,0.006813550687722873,1.9806833394543236e-05
2001-08-21,2001-08-21,speech,{'unknown'},0.006813417190775681,0.002882599580712788,0.003930817610062893,0.00010623831378548361
2001-10-02,2001-10-02,speech,{'unknown'},0.008581340149716999,0.0007303268212525105,0.007851013328464489,0.00015394143781302918
2001-11-06,2001-11-06,speech,{'unknown'},0.010502314654874594,0.002211013611552546,0.008291301043322048,4.506141871370678e-05
2001-12-11,2001-12-11,speech,{'unknown'},0.00713511045150979,0.003082367715052229,0.0040527427364575605,2.2641020874064584e-05
2002-01-30,2002-01-30,speech,{'unknown'},0.010435671020944318,0.0013865576880974968,0.009049113332846822,5.585872427683223e-05
2002-03-19,2002-03-19,speech,{'unknown'},0.009517335146159076,0.0027592274163234292,0.006758107729835646,2.2013380227477674e-05
2002-05-07,2002-05-07,speech,{'unknown'},0.008514596451058959,0.002218088151116199,0.006296508299942759,4.1976721999618396e-05
2002-06-26,2002-06-26,speech,{'unknown'},0.010615711252653927,0.0026981599433828734,0.007917551309271055,2.6304157173657987e-05
2002-08-13,2002-08-13,speech,{'unknown'},0.007895775759968417,0.00019739439399921041,0.007698381365969206,0.00018776539916998063
2002-09-24,2002-09-24,speech,{'unknown'},0.0,0.0,0.0,0.0
2002-11-06,2002-11-06,speech,{'unknown'},0.00845582424529793,0.0038196090827669776,0.004636215162530952,9.948959576246679e-06
2002-12-10,2002-12-10,speech,{'unknown'},0.008404333243378696,0.003932302710204711,0.004472030533173985,1.3975095416168702e-05
