date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
1999-02-03,1999-02-03,speech,{'unknown'},0.009208543803691306,0.0023218572754595728,0.006886686528231733,1.5705100406457773e-06
1999-03-30,1999-03-30,speech,{'unknown'},0.011161934351716004,0.0030493944362935473,0.008112539915422457,1.642214557777825e-05
1999-05-18,1999-05-18,statements,,0.006622516556291391,0.006622516556291391,0.0,0.0
1999-05-18,1999-05-18,speech,{'unknown'},0.009751953788651036,0.0019367991845056064,0.00781515460414543,2.2718472686469273e-05
1999-06-30,1999-06-30,statements,,0.0,0.00625,-0.00625,0.00625
1999-06-30,1999-06-30,speech,{'unknown'},0.010587612493382742,0.0032645138521263453,0.007323098641256397,2.3321970195084067e-05
1999-08-24,1999-08-24,statements,,0.004629629629629629,0.004629629629629629,0.0,0.0
1999-08-24,1999-08-24,speech,{'unknown'},0.015311702515493984,0.0007291286912139992,0.014582573824279986,0.00033142213236999967
1999-10-05,1999-10-05,statements,,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.001949317738791423
1999-10-05,1999-10-05,speech,{'unknown'},0.008598010907924286,0.002053256336220725,0.006544754571703561,1.9713116179830004e-05
1999-11-16,1999-11-16,statements,,0.0,0.0,0.0,0.0
1999-11-16,1999-11-16,speech,{'unknown'},0.008469228469892722,0.002258460925304726,0.006210767544587997,1.9228382490984513e-05
1999-12-21,1999-12-21,statements,,0.013157894736842105,0.006578947368421052,0.006578947368421052,0.0021929824561403508
1999-12-21,1999-12-21,speech,{'unknown'},0.006949136183766046,0.0012547051442910915,0.005694431039474954,6.699330634676416e-05
2000-02-02,2000-02-02,statements,,0.005235602094240838,0.005235602094240838,0.0,0.0
2000-02-02,2000-02-02,speech,{'unknown'},0.006516699041293314,0.0033210100883514005,0.0031956889529419137,2.0354706706636392e-05
2000-03-21,2000-03-21,speech,{'unknown'},0.007237516110909151,0.0007601044317393172,0.006477411679169834,2.6766163963511707e-05
2000-03-21,2000-03-21,statements,,0.005076142131979695,0.005076142131979695,0.0,0.0
2000-05-16,2000-05-16,speech,{'unknown'},0.009439489616561422,0.0018444979710522317,0.00759499164550919,1.4605753164440752e-05
2000-05-16,2000-05-16,statements,,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0017543859649122805
2000-06-28,2000-06-28,statements,,0.0,0.0,0.0,0.0
2000-06-28,2000-06-28,speech,{'unknown'},0.009648518263266712,0.0016621397008148538,0.007986378562451858,2.8625012768644657e-05
2000-08-22,2000-08-22,statements,,0.0,0.0,0.0,0.0
2000-08-22,2000-08-22,speech,{'unknown'},0.009143660981185159,0.0026375945138034113,0.0065060664673817475,9.710546966241416e-05
2000-10-03,2000-10-03,statements,,0.0056179775280898875,0.0,0.0056179775280898875,0.0056179775280898875
2000-10-03,2000-10-03,speech,{'unknown'},0.010837523842552453,0.0033813074388763654,0.007456216403676088,4.5464734168756636e-05
2000-11-15,2000-11-15,statements,,0.0,0.0,0.0,0.0
2000-11-15,2000-11-15,speech,{'unknown'},0.007881662993537783,0.0020544619177468157,0.005827201075790968,2.1906770961620177e-05
2000-12-19,2000-12-19,statements,,0.0,0.0,0.0,0.0
2000-12-19,2000-12-19,speech,{'unknown'},0.010717566602021026,0.0010207206287639074,0.00969684597325712,8.432039976745321e-05
2001-01-03,2001-01-31,statements,,0.0,0.0,0.0,0.0
2001-01-31,2001-01-31,statements,,0.00392156862745098,0.0,0.00392156862745098,0.00392156862745098
2001-01-31,2001-01-31,speech,{'unknown'},0.007447248655357882,0.0004137360364087712,0.00703351261894911,0.00018509243734076607
2001-03-20,2001-03-20,speech,{'unknown'},0.008330781010719756,0.0011332312404287901,0.007197549770290965,2.3293041327802473e-05
2001-03-20,2001-03-20,statements,,0.0,0.0,0.0,0.0
2001-04-18,2001-05-15,statements,,0.0035335689045936395,0.0,0.0035335689045936395,0.0035335689045936395
2001-05-15,2001-05-15,speech,{'unknown'},0.008177473271265575,0.0011879437522446612,0.0069895295190209135,2.061808117705284e-05
2001-05-15,2001-05-15,statements,,0.00390625,0.0,0.00390625,0.00390625
