date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
1999-02-03,1999-02-03,speech,{'unknown'},,,,
1999-03-30,1999-03-30,speech,{'unknown'},,,,
1999-05-18,1999-05-18,statements,,,,,
1999-05-18,1999-05-18,speech,{'unknown'},-0.5262157731972755,-0.5666474186153436,-0.512658098678582,0.8274469557719398
1999-06-30,1999-06-30,statements,,-0.6343716492033226,-0.62622733304201,-0.6370481302318823,1.7508416916492033
1999-06-30,1999-06-30,speech,{'unknown'},-0.3969391990833836,-0.3577988361209261,-0.410117802567623,-0.10725854492160435
1999-08-24,1999-08-24,statements,,-0.5391320585456688,-0.5415412863555563,-0.5382239023369094,-1.7367997737379886
1999-08-24,1999-08-24,speech,{'unknown'},-0.46192169727559584,-0.4930504736007194,-0.45136363511999417,1.1795587059088335
1999-10-05,1999-10-05,statements,,-0.46328017103916047,-0.4612426828869183,-0.46387655634612057,-0.5450668381826212
1999-10-05,1999-10-05,speech,{'unknown'},-0.20042045796201682,-0.21295802888677975,-0.196150491172213,0.2916741229932404
1999-11-16,1999-11-16,statements,,-0.44032064009043725,-0.4387246054550217,-0.4407735493981227,-1.5690163166991489
1999-11-16,1999-11-16,speech,{'unknown'},-0.1701166877762537,-0.15465786985896027,-0.1753030428051695,0.29530849102224066
1999-12-21,1999-12-21,statements,,-0.4208040302518994,-0.4186971332482929,-0.4214326623192751,-0.4444004770817779
1999-12-21,1999-12-21,speech,{'unknown'},-0.3288681195268657,-0.35056569164943463,-0.3214824296141018,0.6815826338467498
2000-02-02,2000-02-02,statements,,-0.3941723844693102,-0.38919266574208483,-0.39577542402525373,-1.529805078790118
2000-02-02,2000-02-02,speech,{'unknown'},-0.26342156847864573,-0.14245979939128645,-0.3042129857770442,-0.3927209355331041
2000-03-21,2000-03-21,speech,{'unknown'},-0.1209971266524506,-0.2768776629336773,-0.06843940928180152,1.1252299435656838
2000-03-21,2000-03-21,statements,,-0.3798595606267634,-0.37331037483835744,-0.38178255527298927,-1.4441449952224468
2000-05-16,2000-05-16,speech,{'unknown'},0.16775270681563392,0.048910291060141775,0.20774058035806292,0.691664560224706
2000-05-16,2000-05-16,statements,,-0.38641963586668043,-0.3750530875434237,-0.38989346170182543,-0.36913378820684317
2000-06-28,2000-06-28,statements,,-0.378279556460508,-0.36986389888186944,-0.3807673978805284,-1.3981426312692822
2000-06-28,2000-06-28,speech,{'unknown'},-0.052127249108443734,-0.1442182848560257,-0.021045875348217283,0.8514845788829049
2000-08-22,2000-08-22,statements,,-0.374949970057945,-0.3621669290549701,-0.3788821777829687,-1.352429524951992
2000-08-22,2000-08-22,speech,{'unknown'},-0.2937005222373107,-0.2709429150041136,-0.3010767908542978,0.39778582960545267
2000-10-03,2000-10-03,statements,,-0.35953448993529535,-0.34936233731035,-0.36260107343400827,1.768119475089628
2000-10-03,2000-10-03,speech,{'unknown'},-0.17258021049010677,-0.11841516030837582,-0.1906541815663078,0.2228055151930354
2000-11-15,2000-11-15,statements,,-0.35336851854299967,-0.3440337452067716,-0.3561499047929443,-1.3643683523031889
2000-11-15,2000-11-15,speech,{'unknown'},-0.03002369067359422,-0.010127965389497165,-0.036691184569675774,0.44953689799840685
2000-12-19,2000-12-19,statements,,-0.35168421042966896,-0.3431370985243573,-0.35420191339526275,-1.3302974626629676
2000-12-19,2000-12-19,speech,{'unknown'},-0.18211634270521043,-0.27511500989452947,-0.15062684383587208,1.1943002585612457
