method,variant,n_inputs,n_comp,adj_r2,oos_rmse_80,cw_tstat,cw_pval
LLM,base,7,5,0.9669,0.529901,0.9687,0.1663
LLM,total,8,5,0.9591,0.25479,5.0826,0.0
LLM,total_inter,14,6,0.8727,0.959094,0.7329,
LLM,topics,13,8,0.9627,0.265929,3.0017,
LLM,topics_matched,20,9,0.9215,0.99864,0.9225,
LLM,topics_inter,56,11,0.794,1.857093,1.8903,
LLM,all_sent,14,8,0.9634,0.26653,3.2098,
LLM,all_sent_inter,63,11,0.7744,2.057932,2.3759,
Gardner,base,7,5,0.9669,0.529901,0.9687,0.1663
Gardner,total,8,5,0.9505,0.402541,4.7547,
Gardner,total_inter,14,6,0.9437,0.690982,0.4508,
Gardner,topics,12,7,0.9394,0.592955,1.6559,
Gardner,topics_matched,18,9,0.9463,0.589969,2.1457,
Gardner,topics_inter,48,12,0.9349,0.773537,3.0909,
Gardner,all_sent,13,7,0.9372,0.593954,1.6421,
Gardner,all_sent_inter,55,11,0.894,1.061653,1.3738,
Sharpe,base,7,5,0.9669,0.529901,0.9687,0.1663
Sharpe,total,8,5,0.9669,0.396439,4.8414,0.0
Sharpe,total_inter,14,7,0.9643,0.371997,5.4031,0.0
Sharpe,topics,9,6,0.967,0.472855,3.0074,0.0013
Sharpe,topics_matched,12,6,0.9119,0.873623,-0.6393,
Sharpe,topics_inter,24,7,0.9489,0.7384,2.2954,
Sharpe,all_sent,10,6,0.9673,0.457603,3.6155,0.0001
Sharpe,all_sent_inter,31,8,0.9233,0.774969,1.6545,
