label,n,oos80,oos60,oos70,oos90
press_conferences_wordcount_4f_cons_matched,118,0.1575,0.5979,0.2765,0.169
press_conferences_wordcount_4f_matched,118,0.1591,0.5671,0.2816,0.1854
press_conferences_wordcount_4e_inter,118,0.1629,0.7775,0.2877,0.1884
press_conferences_wordcount_ewma10_4f_matched,118,0.1652,0.5293,0.2905,0.189
press_conferences_wordcount_ewma10_4c_topics,118,0.1682,0.4093,0.2744,0.1979
press_conferences_zscore_4f_matched,118,0.1691,0.5489,0.2743,0.1939
press_conferences_zscore_4b_cons,118,0.1703,0.5964,0.2834,0.1813
press_conferences_zscore_4f_cons_matched,118,0.1708,0.5719,0.2726,0.1788
press_conferences_zscore_ewma10_4f_cons_matched,118,0.1743,0.5866,0.2952,0.1814
press_conferences_zscore_ewma10_4b_cons,118,0.1746,0.5435,0.2986,0.2045
press_conferences_wordcount_4b_cons,118,0.1747,0.5982,0.2825,0.1792
press_conferences_wordcount_ewma10_4b_cons,118,0.1774,0.5171,0.3143,0.1993
press_conferences_wordcount_4c_topics,118,0.1783,0.524,0.2956,0.2044
press_conferences_zscore_ewma10_4f_matched,118,0.1857,0.4705,0.2703,0.2128
press_conferences_zscore_4c_topics,118,0.1873,0.5305,0.2958,0.2103
press_conferences_zscore_ewma10_4c_topics,118,0.2002,0.5165,0.2709,0.2022
press_conferences_wordcount_ewma10_4e_inter,118,0.2201,0.6911,0.3071,0.2051
minutes_zscore_ewma10_4c_topics,151,0.223,0.3189,0.3116,0.1876
press_conferences_zscore_ewma10_4e_inter,118,0.2309,0.4988,0.3142,0.1886
press_conferences_zscore_4e_inter,118,0.2356,0.7951,0.2833,0.1869
speeches_zscore_4f_matched,151,0.24,0.2995,0.2983,0.1758
speeches_zscore_ewma10_4f_matched,151,0.2404,0.299,0.2967,0.2057
minutes_zscore_ewma10_4f_matched,151,0.254,0.3534,0.3859,0.1909
minutes_zscore_4f_matched,151,0.255,0.3006,0.3146,0.1711
statements_zscore_ewma10_4c_topics,151,0.2561,0.3075,0.3146,0.1842
minutes_zscore_4c_topics,151,0.2574,0.3131,0.3147,0.1703
statements_zscore_4c_topics,151,0.2576,0.3081,0.3031,0.168
press_conferences_wordcount_ewma10_4f_cons_matched,118,0.2578,0.7482,0.301,0.2175
statements_minutes_speeches_press_conferences_wordcount_ewma10_4c_topics,151,0.2597,0.3111,0.3152,0.1783
speeches_zscore_4c_topics,151,0.2604,0.3169,0.326,0.1743
statements_minutes_speeches_press_conferences_zscore_4c_topics,151,0.2608,0.3192,0.3174,0.1712
minutes_wordcount_4c_topics,151,0.261,0.3186,0.3159,0.1644
statements_minutes_speeches_press_conferences_zscore_ewma10_4c_topics,151,0.2612,0.3173,0.3063,0.2261
speeches_zscore_4b_cons,151,0.2619,0.3151,0.319,0.1447
statements_minutes_speeches_press_conferences_zscore_ewma10_4f_matched,151,0.2624,0.338,0.3648,0.2278
statements_wordcount_4c_topics,151,0.2626,0.3074,0.3056,0.1687
statements_minutes_speeches_press_conferences_wordcount_4c_topics,151,0.2637,0.3095,0.3079,0.1669
minutes_wordcount_4f_matched,151,0.2653,0.3074,0.324,0.181
statements_wordcount_ewma10_4c_topics,151,0.2656,0.3206,0.3217,0.1834
speeches_wordcount_4b_cons,151,0.2657,0.3232,0.3223,0.1599
speeches_wordcount_ewma10_4b_cons,151,0.2675,0.337,0.3407,0.1582
speeches_wordcount_ewma10_4f_cons_matched,151,0.2687,0.3487,0.3649,0.1664
statements_minutes_speeches_press_conferences_zscore_4e_inter,151,0.2689,0.3828,0.4103,0.1843
speeches_wordcount_ewma10_4c_topics,151,0.2692,0.3455,0.3474,0.1714
speeches_wordcount_4f_cons_matched,151,0.2694,0.3158,0.3141,0.1738
statements_minutes_speeches_press_conferences_wordcount_4f_matched,151,0.2706,0.3217,0.3298,0.1707
statements_zscore_ewma10_4e_inter,151,0.2707,0.3274,0.3193,0.155
speeches_zscore_4e_inter,151,0.2712,0.3566,0.3705,0.231
speeches_zscore_ewma10_4c_topics,151,0.2715,0.3128,0.3193,0.1976
speeches_wordcount_ewma10_4e_inter,151,0.2725,0.5847,0.6284,0.205
speeches_zscore_4f_cons_matched,151,0.2727,0.3204,0.3199,0.1813
statements_wordcount_4f_matched,151,0.2742,0.319,0.3238,0.1724
minutes_zscore_ewma10_4e_inter,151,0.2743,0.294,0.3108,0.2153
minutes_wordcount_ewma10_4c_topics,151,0.2751,0.324,0.3175,0.2283
statements_minutes_speeches_press_conferences_zscore_4f_matched,151,0.2766,0.3074,0.321,0.1846
statements_zscore_4f_matched,151,0.2769,0.3101,0.31,0.1666
speeches_wordcount_4e_inter,151,0.2783,2.6734,3.0718,0.2155
speeches_wordcount_4c_topics,151,0.2796,0.3357,0.3398,0.1805
minutes_wordcount_ewma10_4f_matched,151,0.2824,0.4013,0.4456,0.2073
statements_zscore_4b_cons,151,0.2842,0.3528,0.3627,0.1767
statements_zscore_4f_cons_matched,151,0.2845,0.3366,0.3392,0.1668
speeches_zscore_ewma10_4b_cons,151,0.2847,0.3238,0.331,0.1741
minutes_zscore_4f_cons_matched,151,0.2849,0.3153,0.3249,0.2179
minutes_zscore_ewma10_4b_cons,151,0.2852,0.3116,0.324,0.2522
minutes_wordcount_4f_cons_matched,151,0.2855,0.3138,0.3238,0.2429
speeches_wordcount_4f_matched,151,0.2868,0.3223,0.3257,0.1724
minutes_zscore_4e_inter,151,0.2876,0.3199,0.3257,0.1704
statements_minutes_speeches_press_conferences_wordcount_4f_cons_matched,151,0.2885,0.3246,0.3263,0.1714
statements_zscore_ewma10_4b_cons,151,0.2892,0.3454,0.359,0.2225
minutes_zscore_4b_cons,151,0.2892,0.3326,0.3481,0.1833
speeches_zscore_ewma10_4f_cons_matched,151,0.2893,0.3137,0.3235,0.1809
statements_minutes_speeches_press_conferences_zscore_4f_cons_matched,151,0.2895,0.3315,0.3372,0.1942
statements_wordcount_ewma10_4e_inter,151,0.2896,0.3341,0.3313,0.1589
statements_minutes_speeches_press_conferences_wordcount_ewma10_4b_cons,151,0.2897,0.3686,0.3834,0.1978
statements_zscore_4e_inter,151,0.2903,0.3684,0.3834,0.1668
statements_wordcount_ewma10_4b_cons,151,0.2903,0.3783,0.3943,0.1991
minutes_wordcount_4b_cons,151,0.2905,0.32,0.3287,0.1916
speeches_wordcount_ewma10_4f_matched,151,0.2921,0.3295,0.3023,0.165
statements_zscore_ewma10_4f_matched,151,0.2937,0.3264,0.3404,0.1677
minutes_zscore_ewma10_4f_cons_matched,151,0.2956,0.3173,0.3315,0.2258
speeches_zscore_ewma10_4e_inter,151,0.2958,0.3427,0.3414,0.2641
statements_minutes_speeches_press_conferences_wordcount_ewma10_4e_inter,151,0.2977,0.3346,0.337,0.1647
