label,n,oos80,oos60,oos70,oos90
press_conferences_wordcount_ewma10_4b_cons,118,0.1584,0.5867,0.2865,0.174
press_conferences_wordcount_4b_cons,118,0.1589,0.5962,0.268,0.1702
press_conferences_zscore_ewma10_4b_cons,118,0.1614,0.5994,0.2632,0.1677
press_conferences_zscore_4e_inter,118,0.1664,0.5755,0.2991,0.2007
press_conferences_zscore_4b_cons,118,0.1682,0.5539,0.259,0.1685
press_conferences_zscore_ewma10_4e_inter,118,0.1765,0.5584,0.3018,0.2189
press_conferences_wordcount_4e_inter,118,0.1872,0.6436,0.2894,0.1796
press_conferences_wordcount_ewma10_4e_inter,118,0.2244,0.6846,0.275,0.1989
statements_minutes_speeches_press_conferences_wordcount_ewma10_4b_cons,151,0.2415,0.3036,0.3073,0.1667
statements_wordcount_ewma10_4b_cons,151,0.2427,0.305,0.3089,0.1665
statements_wordcount_4e_inter,151,0.2495,0.463,0.5013,0.1866
minutes_zscore_4e_inter,151,0.2528,0.3148,0.3137,0.1782
minutes_wordcount_ewma10_4e_inter,151,0.2587,0.3274,0.3141,0.1875
minutes_zscore_ewma10_4e_inter,151,0.2615,0.3445,0.323,0.173
statements_minutes_speeches_press_conferences_wordcount_4e_inter,151,0.2628,0.4843,0.5113,0.18
statements_minutes_speeches_press_conferences_wordcount_4b_cons,151,0.2628,0.3126,0.312,0.1681
statements_wordcount_4b_cons,151,0.2631,0.3127,0.3122,0.1681
speeches_wordcount_4b_cons,151,0.2648,0.3101,0.3102,0.1624
speeches_zscore_ewma10_4b_cons,151,0.2652,0.3148,0.3135,0.1804
statements_zscore_ewma10_4b_cons,151,0.2653,0.321,0.3168,0.1697
speeches_wordcount_ewma10_4e_inter,151,0.2661,0.4204,0.4044,0.1802
minutes_zscore_4b_cons,151,0.2665,0.3169,0.3222,0.1639
statements_zscore_4b_cons,151,0.2667,0.3135,0.3138,0.1669
minutes_wordcount_4e_inter,151,0.2669,0.3419,0.3429,0.1924
statements_minutes_speeches_press_conferences_zscore_4b_cons,151,0.2683,0.3174,0.3201,0.1659
speeches_zscore_4b_cons,151,0.2686,0.3175,0.319,0.1671
minutes_wordcount_4b_cons,151,0.2709,0.3163,0.3184,0.1741
statements_minutes_speeches_press_conferences_zscore_ewma10_4b_cons,151,0.2721,0.3156,0.3161,0.165
statements_zscore_4e_inter,151,0.2742,0.325,0.3248,0.1837
statements_minutes_speeches_press_conferences_zscore_4e_inter,151,0.2743,0.3786,0.3927,0.1628
minutes_wordcount_ewma10_4b_cons,151,0.2759,0.3207,0.3216,0.1918
statements_minutes_speeches_press_conferences_wordcount_ewma10_4e_inter,151,0.276,0.3921,0.399,0.1793
speeches_wordcount_ewma10_4b_cons,151,0.2766,0.3199,0.3276,0.1623
speeches_wordcount_4e_inter,151,0.2773,0.4689,0.4651,0.17
speeches_zscore_ewma10_4e_inter,151,0.2789,0.3478,0.3368,0.2001
speeches_zscore_4e_inter,151,0.2829,0.3641,0.3706,0.1653
minutes_zscore_ewma10_4b_cons,151,0.2888,0.3173,0.3277,0.2086
statements_minutes_speeches_press_conferences_zscore_ewma10_4e_inter,151,0.2983,0.461,0.3764,0.1841
statements_wordcount_ewma10_4e_inter,151,0.3292,0.3737,0.3889,0.175
statements_zscore_ewma10_4e_inter,151,0.3365,0.3529,0.3607,0.1835
