model,n_obs,n_jpc,n_bpc,n_oos_exp,rmse_exp,base_rmse_exp,imp_exp,dm_t_exp,dm_p_exp,sig_exp,rmse_oos60,base_oos60,imp_oos60,dm_t_oos60,dm_p_oos60,sig_oos60,rmse_oos70,base_oos70,imp_oos70,dm_t_oos70,dm_p_oos70,sig_oos70,rmse_oos80,base_oos80,imp_oos80,dm_t_oos80,dm_p_oos80,sig_oos80,rmse_oos90,base_oos90,imp_oos90,dm_t_oos90,dm_p_oos90,sig_oos90
LLM_base,151,5,5,76,0.2826,0.2826,0.0,,,,0.5176,0.5176,0.0,,,,0.3341,0.3341,0.0,,,,0.3374,0.3374,0.0,,,,0.1712,0.1712,0.0,,,
LLM_total,151,5,5,76,0.2884,0.2826,-2.1,-0.7285,,,0.3901,0.5176,24.6,3.7575,0.0001,***,0.3439,0.3341,-2.9,-1.0797,,,0.3153,0.3374,6.6,1.6636,0.0481,**,0.2554,0.1712,-49.2,-3.2778,,
LLM_total_inter,151,6,5,76,0.3078,0.2826,-8.9,-1.2674,,,0.3713,0.5176,28.3,2.021,0.0216,**,0.4369,0.3341,-30.8,-2.8524,,,0.3283,0.3374,2.7,0.553,0.2901,,0.2269,0.1712,-32.6,-2.856,,
LLM_topics,151,8,5,76,0.2444,0.2826,13.5,2.3345,0.0098,***,0.3486,0.5176,32.7,2.065,0.0195,**,0.3927,0.3341,-17.5,-1.3739,,,0.2152,0.3374,36.2,2.1065,0.0176,**,0.1319,0.1712,22.9,0.8497,0.1978,
LLM_topics_matched,151,9,5,76,0.2759,0.2826,2.3,0.2409,0.4048,,0.3525,0.5176,31.9,2.3286,0.0099,***,0.4446,0.3341,-33.1,-1.8038,,,0.6274,0.3374,-86.0,-2.3969,,,0.2377,0.1712,-38.8,-1.237,,
LLM_topics_inter,151,11,5,76,0.3351,0.2826,-18.6,-1.204,,,1.2411,0.5176,-139.8,-1.6496,,,0.858,0.3341,-156.8,-1.8131,,,0.7173,0.3374,-112.6,-1.7292,,,0.2458,0.1712,-43.6,-2.0432,,
LLM_all_sent,151,8,5,76,0.2428,0.2826,14.1,2.4189,0.0078,***,0.3457,0.5176,33.2,2.1251,0.0168,**,0.3898,0.3341,-16.7,-1.314,,,0.2134,0.3374,36.8,2.0721,0.0191,**,0.1308,0.1712,23.6,0.8576,0.1956,
LLM_all_sent_inter,151,11,5,76,0.3227,0.2826,-14.2,-0.9136,,,1.0965,0.5176,-111.8,-1.5323,,,0.7137,0.3341,-113.6,-1.7187,,,0.6644,0.3374,-96.9,-1.5999,,,0.2533,0.1712,-48.0,-2.4094,,
Gardner_base,151,5,5,76,0.2826,0.2826,0.0,,,,0.5176,0.5176,0.0,,,,0.3341,0.3341,0.0,,,,0.3374,0.3374,0.0,,,,0.1712,0.1712,0.0,,,
Gardner_total,151,5,5,76,0.2904,0.2826,-2.8,-0.7321,,,0.4266,0.5176,17.6,4.2497,0.0,***,0.3288,0.3341,1.6,0.379,0.3523,,0.3432,0.3374,-1.7,-0.3619,,,0.3055,0.1712,-78.4,-3.0462,,
Gardner_total_inter,151,6,5,76,0.3064,0.2826,-8.4,-1.3271,,,0.4144,0.5176,19.9,1.4853,0.0687,*,0.4341,0.3341,-29.9,-1.9987,,,0.3927,0.3374,-16.4,-1.2084,,,0.3333,0.1712,-94.7,-3.1311,,
Gardner_topics,151,7,5,76,0.2996,0.2826,-6.0,-1.5339,,,0.366,0.5176,29.3,2.5569,0.0053,***,0.3433,0.3341,-2.7,-0.79,,,0.359,0.3374,-6.4,-1.0022,,,0.3134,0.1712,-83.0,-3.0019,,
Gardner_topics_matched,151,9,5,76,0.2986,0.2826,-5.7,-0.7274,,,0.428,0.5176,17.3,2.0939,0.0181,**,0.4203,0.3341,-25.8,-3.2776,,,0.3009,0.3374,10.8,0.5676,0.2852,,0.2488,0.1712,-45.3,-1.5966,,
Gardner_topics_inter,151,12,5,76,0.315,0.2826,-11.5,-1.5278,,,0.4127,0.5176,20.3,1.4724,0.0705,*,0.4963,0.3341,-48.5,-2.1593,,,0.506,0.3374,-50.0,-2.0044,,,0.2566,0.1712,-49.9,-2.1263,,
Gardner_all_sent,151,7,5,76,0.3075,0.2826,-8.8,-1.9228,,,0.3715,0.5176,28.2,2.3825,0.0086,***,0.3602,0.3341,-7.8,-1.4726,,,0.3808,0.3374,-12.9,-1.4714,,,0.3291,0.1712,-92.2,-3.4157,,
