model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,cw_tstat,cw_pval
Gardner_statements_wordcount__4a_total_sent_ev1.0,213,0.9717,0.9711,254.87,275.04,1584.3394,0.0,0.438049,0.428233,0.470138,0.333484,2.9846,
Gardner_statements_wordcount__4b_sent_sd_ev1.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sent_var_ev1.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_consensus_ev1.0,213,0.9748,0.9736,238.75,272.37,924.4694,0.0,0.407676,0.421046,0.476856,0.357265,3.4691,0.0003
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.0,213,0.9739,0.9728,245.54,279.15,973.9382,0.0,0.440093,0.438748,0.501028,0.312141,3.3268,
Gardner_statements_wordcount__4c_all_topics_ev1.0,213,0.9726,0.9714,256.24,289.85,887.9141,0.0,0.484386,0.449459,0.477951,0.360292,2.6042,
Gardner_statements_wordcount__4d_topic_pca_ev1.0,213,0.9725,0.9715,254.84,285.09,1008.6825,0.0,0.475117,0.444969,0.474734,0.340454,2.7427,,4d,1.0
Gardner_statements_wordcount__4e_total_interactions_ev1.0,213,0.9766,0.9755,222.88,256.49,1111.8433,0.0,0.451201,0.366639,0.396321,0.187035,3.0838,
Gardner_statements_wordcount__4f_matched_interactions_ev1.0,213,0.9742,0.973,243.65,277.27,1018.1827,0.0,0.436405,0.438142,0.421168,0.21706,3.3957,
Gardner_statements_wordcount__4g_novelty_ev1.0,212,0.972,0.9707,259.48,293.05,907.4006,0.0,0.447983,0.431003,0.470929,0.33014,2.7332,
Gardner_statements_wordcount__4a_total_sent_ev1.5,213,0.9717,0.9711,254.87,275.04,1584.3394,0.0,0.438049,0.428233,0.470138,0.333484,2.9846,
Gardner_statements_wordcount__4b_sent_sd_ev1.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sent_var_ev1.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_consensus_ev1.5,213,0.9748,0.9736,238.75,272.37,924.4694,0.0,0.407676,0.421046,0.476856,0.357265,3.4691,0.0003
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.5,213,0.9739,0.9728,245.54,279.15,973.9382,0.0,0.440093,0.438748,0.501028,0.312141,3.3268,
Gardner_statements_wordcount__4c_all_topics_ev1.5,213,0.9726,0.9714,256.24,289.85,887.9141,0.0,0.484386,0.449459,0.477951,0.360292,2.6042,
Gardner_statements_wordcount__4d_topic_pca_ev1.5,213,0.9725,0.9715,254.84,285.09,1008.6825,0.0,0.475117,0.444969,0.474734,0.340454,2.7427,,4d,1.5
Gardner_statements_wordcount__4e_total_interactions_ev1.5,213,0.9766,0.9755,222.88,256.49,1111.8433,0.0,0.451201,0.366639,0.396321,0.187035,3.0838,
Gardner_statements_wordcount__4f_matched_interactions_ev1.5,213,0.9742,0.973,243.65,277.27,1018.1827,0.0,0.436405,0.438142,0.421168,0.21706,3.3957,
Gardner_statements_wordcount__4g_novelty_ev1.5,212,0.972,0.9707,259.48,293.05,907.4006,0.0,0.447983,0.431003,0.470929,0.33014,2.7332,
Gardner_statements_wordcount__4a_total_sent_ev2.0,213,0.9717,0.9711,254.87,275.04,1584.3394,0.0,0.438049,0.428233,0.470138,0.333484,2.9846,
Gardner_statements_wordcount__4b_sent_sd_ev2.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sent_var_ev2.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_consensus_ev2.0,213,0.9748,0.9736,238.75,272.37,924.4694,0.0,0.407676,0.421046,0.476856,0.357265,3.4691,0.0003
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.0,213,0.9739,0.9728,245.54,279.15,973.9382,0.0,0.440093,0.438748,0.501028,0.312141,3.3268,
Gardner_statements_wordcount__4c_all_topics_ev2.0,213,0.9726,0.9714,256.24,289.85,887.9141,0.0,0.484386,0.449459,0.477951,0.360292,2.6042,
Gardner_statements_wordcount__4d_topic_pca_ev2.0,213,0.9725,0.9715,254.84,285.09,1008.6825,0.0,0.475117,0.444969,0.474734,0.340454,2.7427,,4d,2.0
Gardner_statements_wordcount__4e_total_interactions_ev2.0,213,0.9766,0.9755,222.88,256.49,1111.8433,0.0,0.451201,0.366639,0.396321,0.187035,3.0838,
Gardner_statements_wordcount__4f_matched_interactions_ev2.0,213,0.9742,0.973,243.65,277.27,1018.1827,0.0,0.436405,0.438142,0.421168,0.21706,3.3957,
Gardner_statements_wordcount__4g_novelty_ev2.0,212,0.972,0.9707,259.48,293.05,907.4006,0.0,0.447983,0.431003,0.470929,0.33014,2.7332,
Gardner_statements_wordcount__4a_total_sent_ev2.5,213,0.9717,0.9711,254.87,275.04,1584.3394,0.0,0.438049,0.428233,0.470138,0.333484,2.9846,
Gardner_statements_wordcount__4b_sent_sd_ev2.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sent_var_ev2.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.5,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_consensus_ev2.5,213,0.9748,0.9736,238.75,272.37,924.4694,0.0,0.407676,0.421046,0.476856,0.357265,3.4691,0.0003
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.5,213,0.9739,0.9728,245.54,279.15,973.9382,0.0,0.440093,0.438748,0.501028,0.312141,3.3268,
Gardner_statements_wordcount__4c_all_topics_ev2.5,213,0.9726,0.9714,256.24,289.85,887.9141,0.0,0.484386,0.449459,0.477951,0.360292,2.6042,
Gardner_statements_wordcount__4d_topic_pca_ev2.5,213,0.9725,0.9715,254.84,285.09,1008.6825,0.0,0.475117,0.444969,0.474734,0.340454,2.7427,,4d,2.5
Gardner_statements_wordcount__4e_total_interactions_ev2.5,213,0.9766,0.9755,222.88,256.49,1111.8433,0.0,0.451201,0.366639,0.396321,0.187035,3.0838,
Gardner_statements_wordcount__4f_matched_interactions_ev2.5,213,0.9742,0.973,243.65,277.27,1018.1827,0.0,0.436405,0.438142,0.421168,0.21706,3.3957,
Gardner_statements_wordcount__4g_novelty_ev2.5,212,0.972,0.9707,259.48,293.05,907.4006,0.0,0.447983,0.431003,0.470929,0.33014,2.7332,
Gardner_statements_wordcount__4a_total_sent_ev3.0,213,0.9717,0.9711,254.87,275.04,1584.3394,0.0,0.438049,0.428233,0.470138,0.333484,2.9846,
Gardner_statements_wordcount__4b_sent_sd_ev3.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sent_var_ev3.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_sd_var_joint_ev3.0,215,0.9721,0.9716,253.25,270.11,1973.2973,0.0,0.436296,0.426337,0.469204,0.333238,,
Gardner_statements_wordcount__4b_consensus_ev3.0,213,0.9748,0.9736,238.75,272.37,924.4694,0.0,0.407676,0.421046,0.476856,0.357265,3.4691,0.0003
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,213,0.9739,0.9728,245.54,279.15,973.9382,0.0,0.440093,0.438748,0.501028,0.312141,3.3268,
Gardner_statements_wordcount__4c_all_topics_ev3.0,213,0.9726,0.9714,256.24,289.85,887.9141,0.0,0.484386,0.449459,0.477951,0.360292,2.6042,
Gardner_statements_wordcount__4d_topic_pca_ev3.0,213,0.9725,0.9715,254.84,285.09,1008.6825,0.0,0.475117,0.444969,0.474734,0.340454,2.7427,,4d,3.0
Gardner_statements_wordcount__4e_total_interactions_ev3.0,213,0.9766,0.9755,222.88,256.49,1111.8433,0.0,0.451201,0.366639,0.396321,0.187035,3.0838,
