model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,cw_tstat,cw_pval
Gardner_statements_wordcount__4a_total_sent_ev1.0,213,0.2118,0.1927,70.21,90.37,8.3215,0.0,0.296204,0.324082,0.348967,0.170401,1.495,
Gardner_statements_wordcount__4b_sent_sd_ev1.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sent_var_ev1.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_consensus_ev1.0,213,0.2515,0.2183,67.19,100.8,6.5909,0.0,0.29867,0.32808,0.355282,0.162334,1.7899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.0,213,0.2242,0.1898,74.81,108.43,6.0799,0.0,0.300419,0.329641,0.350503,0.171015,1.3461,
Gardner_statements_wordcount__4c_all_topics_ev1.0,213,0.2566,0.2236,65.73,99.35,6.2812,0.0,0.301714,0.331252,0.356476,0.180346,2.0655,
Gardner_statements_wordcount__4d_topic_pca_ev1.0,213,0.2426,0.2129,67.7,97.95,6.4545,0.0,0.304216,0.333715,0.360377,0.163918,2.0774,,4d,1.0
Gardner_statements_wordcount__4e_total_interactions_ev1.0,213,0.2997,0.2687,53.01,86.62,8.4827,0.0,0.291725,0.313946,0.335491,0.151375,1.6566,0.0488
Gardner_statements_wordcount__4f_matched_interactions_ev1.0,213,0.2373,0.2035,71.19,104.81,5.0881,3e-06,0.316894,0.35099,0.370115,0.15275,0.8924,
Gardner_statements_wordcount__4g_novelty_ev1.0,212,0.2133,0.1782,78.51,112.08,4.7668,9e-06,0.296896,0.322946,0.345815,0.175045,2.1583,0.0155
Gardner_statements_wordcount__4a_total_sent_ev1.5,213,0.2118,0.1927,70.21,90.37,8.3215,0.0,0.296204,0.324082,0.348967,0.170401,1.495,
Gardner_statements_wordcount__4b_sent_sd_ev1.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sent_var_ev1.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_consensus_ev1.5,213,0.2515,0.2183,67.19,100.8,6.5909,0.0,0.29867,0.32808,0.355282,0.162334,1.7899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.5,213,0.2242,0.1898,74.81,108.43,6.0799,0.0,0.300419,0.329641,0.350503,0.171015,1.3461,
Gardner_statements_wordcount__4c_all_topics_ev1.5,213,0.2566,0.2236,65.73,99.35,6.2812,0.0,0.301714,0.331252,0.356476,0.180346,2.0655,
Gardner_statements_wordcount__4d_topic_pca_ev1.5,213,0.2426,0.2129,67.7,97.95,6.4545,0.0,0.304216,0.333715,0.360377,0.163918,2.0774,,4d,1.5
Gardner_statements_wordcount__4e_total_interactions_ev1.5,213,0.2997,0.2687,53.01,86.62,8.4827,0.0,0.291725,0.313946,0.335491,0.151375,1.6566,0.0488
Gardner_statements_wordcount__4f_matched_interactions_ev1.5,213,0.2373,0.2035,71.19,104.81,5.0881,3e-06,0.316894,0.35099,0.370115,0.15275,0.8924,
Gardner_statements_wordcount__4g_novelty_ev1.5,212,0.2133,0.1782,78.51,112.08,4.7668,9e-06,0.296896,0.322946,0.345815,0.175045,2.1583,0.0155
Gardner_statements_wordcount__4a_total_sent_ev2.0,213,0.2118,0.1927,70.21,90.37,8.3215,0.0,0.296204,0.324082,0.348967,0.170401,1.495,
Gardner_statements_wordcount__4b_sent_sd_ev2.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sent_var_ev2.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_consensus_ev2.0,213,0.2515,0.2183,67.19,100.8,6.5909,0.0,0.29867,0.32808,0.355282,0.162334,1.7899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.0,213,0.2242,0.1898,74.81,108.43,6.0799,0.0,0.300419,0.329641,0.350503,0.171015,1.3461,
Gardner_statements_wordcount__4c_all_topics_ev2.0,213,0.2566,0.2236,65.73,99.35,6.2812,0.0,0.301714,0.331252,0.356476,0.180346,2.0655,
Gardner_statements_wordcount__4d_topic_pca_ev2.0,213,0.2426,0.2129,67.7,97.95,6.4545,0.0,0.304216,0.333715,0.360377,0.163918,2.0774,,4d,2.0
Gardner_statements_wordcount__4e_total_interactions_ev2.0,213,0.2997,0.2687,53.01,86.62,8.4827,0.0,0.291725,0.313946,0.335491,0.151375,1.6566,0.0488
Gardner_statements_wordcount__4f_matched_interactions_ev2.0,213,0.2373,0.2035,71.19,104.81,5.0881,3e-06,0.316894,0.35099,0.370115,0.15275,0.8924,
Gardner_statements_wordcount__4g_novelty_ev2.0,212,0.2133,0.1782,78.51,112.08,4.7668,9e-06,0.296896,0.322946,0.345815,0.175045,2.1583,0.0155
Gardner_statements_wordcount__4a_total_sent_ev2.5,213,0.2118,0.1927,70.21,90.37,8.3215,0.0,0.296204,0.324082,0.348967,0.170401,1.495,
Gardner_statements_wordcount__4b_sent_sd_ev2.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sent_var_ev2.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.5,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_consensus_ev2.5,213,0.2515,0.2183,67.19,100.8,6.5909,0.0,0.29867,0.32808,0.355282,0.162334,1.7899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.5,213,0.2242,0.1898,74.81,108.43,6.0799,0.0,0.300419,0.329641,0.350503,0.171015,1.3461,
Gardner_statements_wordcount__4c_all_topics_ev2.5,213,0.2566,0.2236,65.73,99.35,6.2812,0.0,0.301714,0.331252,0.356476,0.180346,2.0655,
Gardner_statements_wordcount__4d_topic_pca_ev2.5,213,0.2426,0.2129,67.7,97.95,6.4545,0.0,0.304216,0.333715,0.360377,0.163918,2.0774,,4d,2.5
Gardner_statements_wordcount__4e_total_interactions_ev2.5,213,0.2997,0.2687,53.01,86.62,8.4827,0.0,0.291725,0.313946,0.335491,0.151375,1.6566,0.0488
Gardner_statements_wordcount__4f_matched_interactions_ev2.5,213,0.2373,0.2035,71.19,104.81,5.0881,3e-06,0.316894,0.35099,0.370115,0.15275,0.8924,
Gardner_statements_wordcount__4g_novelty_ev2.5,212,0.2133,0.1782,78.51,112.08,4.7668,9e-06,0.296896,0.322946,0.345815,0.175045,2.1583,0.0155
Gardner_statements_wordcount__4a_total_sent_ev3.0,213,0.2118,0.1927,70.21,90.37,8.3215,0.0,0.296204,0.324082,0.348967,0.170401,1.495,
Gardner_statements_wordcount__4b_sent_sd_ev3.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sent_var_ev3.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_sd_var_joint_ev3.0,215,0.2058,0.1907,68.43,85.28,10.0824,0.0,0.296816,0.322377,0.348585,0.173913,,
Gardner_statements_wordcount__4b_consensus_ev3.0,213,0.2515,0.2183,67.19,100.8,6.5909,0.0,0.29867,0.32808,0.355282,0.162334,1.7899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,213,0.2242,0.1898,74.81,108.43,6.0799,0.0,0.300419,0.329641,0.350503,0.171015,1.3461,
Gardner_statements_wordcount__4c_all_topics_ev3.0,213,0.2566,0.2236,65.73,99.35,6.2812,0.0,0.301714,0.331252,0.356476,0.180346,2.0655,
