model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval
Gardner_statements_wordcount__4a_total_sent_ev1.0,213,0.2421,0.22,63.84,87.37,8.9814,0.0,0.327028,0.8635,
Gardner_statements_wordcount__4b_sent_sd_ev1.0,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
Gardner_statements_wordcount__4b_sent_var_ev1.0,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.0,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
Gardner_statements_wordcount__4b_consensus_ev1.0,213,0.2882,0.253,58.47,95.44,7.3596,0.0,0.330355,0.6885,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.0,213,0.2425,0.205,71.73,108.7,5.7796,0.0,0.338129,-0.2041,
Gardner_statements_wordcount__4c_all_topics_ev1.0,213,0.2897,0.2546,58.02,95.0,7.1103,0.0,0.334366,0.818,
Gardner_statements_wordcount__4d_topic_pca_ev1.0,213,0.2782,0.2462,59.45,93.06,7.5159,0.0,0.3382,0.6428,,4d,1.0
Gardner_statements_wordcount__4e_total_interactions_ev1.0,213,0.3312,0.2981,45.22,82.19,8.5025,0.0,0.31227,1.2067,0.1138
Gardner_statements_wordcount__4f_matched_interactions_ev1.0,213,0.2691,0.2329,64.12,101.1,5.9848,0.0,0.34863,-0.324,
Gardner_statements_wordcount__4g_novelty_ev1.0,212,0.2446,0.2071,71.89,108.81,5.7172,0.0,0.323098,1.4575,
Gardner_statements_wordcount__4a_total_sent_ev1.5,213,0.2421,0.22,63.84,87.37,8.9814,0.0,0.327028,0.8635,
Gardner_statements_wordcount__4b_sent_sd_ev1.5,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
Gardner_statements_wordcount__4b_sent_var_ev1.5,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.5,215,0.2361,0.2178,62.08,82.31,10.6427,0.0,0.327102,,
