model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval
Gardner_statements_wordcount__4a_total_sent_ev1.0,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.471214,2.7212,0.0033
Gardner_statements_wordcount__4b_sent_sd_ev1.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sent_var_ev1.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_consensus_ev1.0,213,0.9691,0.9676,283.77,320.74,719.9846,0.0,0.4731,2.8031,0.0025
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.0,213,0.9708,0.9693,271.9,308.87,791.6846,0.0,0.48386,2.77,
Gardner_statements_wordcount__4c_all_topics_ev1.0,213,0.9689,0.9673,285.52,322.5,716.5294,0.0,0.497622,2.5303,
Gardner_statements_wordcount__4d_topic_pca_ev1.0,213,0.9686,0.9672,285.25,318.86,798.9297,0.0,0.490428,2.5815,,4d,1.0
Gardner_statements_wordcount__4e_total_interactions_ev1.0,213,0.9725,0.9712,258.71,295.69,939.3616,0.0,0.43064,2.8568,0.0021
Gardner_statements_wordcount__4f_matched_interactions_ev1.0,213,0.97,0.9685,277.62,314.59,831.2815,0.0,0.415109,2.8843,0.002
Gardner_statements_wordcount__4g_novelty_ev1.0,212,0.9679,0.9663,290.2,327.12,713.7332,0.0,0.475159,2.5136,0.006
Gardner_statements_wordcount__4a_total_sent_ev1.5,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.471214,2.7212,0.0033
Gardner_statements_wordcount__4b_sent_sd_ev1.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sent_var_ev1.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_consensus_ev1.5,213,0.9691,0.9676,283.77,320.74,719.9846,0.0,0.4731,2.8031,0.0025
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.5,213,0.9708,0.9693,271.9,308.87,791.6846,0.0,0.48386,2.77,
Gardner_statements_wordcount__4c_all_topics_ev1.5,213,0.9689,0.9673,285.52,322.5,716.5294,0.0,0.497622,2.5303,
Gardner_statements_wordcount__4d_topic_pca_ev1.5,213,0.9686,0.9672,285.25,318.86,798.9297,0.0,0.490428,2.5815,,4d,1.5
Gardner_statements_wordcount__4e_total_interactions_ev1.5,213,0.9725,0.9712,258.71,295.69,939.3616,0.0,0.43064,2.8568,0.0021
Gardner_statements_wordcount__4f_matched_interactions_ev1.5,213,0.97,0.9685,277.62,314.59,831.2815,0.0,0.415109,2.8843,0.002
Gardner_statements_wordcount__4g_novelty_ev1.5,212,0.9679,0.9663,290.2,327.12,713.7332,0.0,0.475159,2.5136,0.006
Gardner_statements_wordcount__4a_total_sent_ev2.0,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.471214,2.7212,0.0033
Gardner_statements_wordcount__4b_sent_sd_ev2.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sent_var_ev2.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_consensus_ev2.0,213,0.9691,0.9676,283.77,320.74,719.9846,0.0,0.4731,2.8031,0.0025
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.0,213,0.9708,0.9693,271.9,308.87,791.6846,0.0,0.48386,2.77,
Gardner_statements_wordcount__4c_all_topics_ev2.0,213,0.9689,0.9673,285.52,322.5,716.5294,0.0,0.497622,2.5303,
Gardner_statements_wordcount__4d_topic_pca_ev2.0,213,0.9686,0.9672,285.25,318.86,798.9297,0.0,0.490428,2.5815,,4d,2.0
Gardner_statements_wordcount__4e_total_interactions_ev2.0,213,0.9725,0.9712,258.71,295.69,939.3616,0.0,0.43064,2.8568,0.0021
Gardner_statements_wordcount__4f_matched_interactions_ev2.0,213,0.97,0.9685,277.62,314.59,831.2815,0.0,0.415109,2.8843,0.002
Gardner_statements_wordcount__4g_novelty_ev2.0,212,0.9679,0.9663,290.2,327.12,713.7332,0.0,0.475159,2.5136,0.006
Gardner_statements_wordcount__4a_total_sent_ev2.5,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.471214,2.7212,0.0033
Gardner_statements_wordcount__4b_sent_sd_ev2.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sent_var_ev2.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.5,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_consensus_ev2.5,213,0.9691,0.9676,283.77,320.74,719.9846,0.0,0.4731,2.8031,0.0025
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.5,213,0.9708,0.9693,271.9,308.87,791.6846,0.0,0.48386,2.77,
Gardner_statements_wordcount__4c_all_topics_ev2.5,213,0.9689,0.9673,285.52,322.5,716.5294,0.0,0.497622,2.5303,
Gardner_statements_wordcount__4d_topic_pca_ev2.5,213,0.9686,0.9672,285.25,318.86,798.9297,0.0,0.490428,2.5815,,4d,2.5
Gardner_statements_wordcount__4e_total_interactions_ev2.5,213,0.9725,0.9712,258.71,295.69,939.3616,0.0,0.43064,2.8568,0.0021
Gardner_statements_wordcount__4f_matched_interactions_ev2.5,213,0.97,0.9685,277.62,314.59,831.2815,0.0,0.415109,2.8843,0.002
Gardner_statements_wordcount__4g_novelty_ev2.5,212,0.9679,0.9663,290.2,327.12,713.7332,0.0,0.475159,2.5136,0.006
Gardner_statements_wordcount__4a_total_sent_ev3.0,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.471214,2.7212,0.0033
Gardner_statements_wordcount__4b_sent_sd_ev3.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sent_var_ev3.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_sd_var_joint_ev3.0,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.469296,,
Gardner_statements_wordcount__4b_consensus_ev3.0,213,0.9691,0.9676,283.77,320.74,719.9846,0.0,0.4731,2.8031,0.0025
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,213,0.9708,0.9693,271.9,308.87,791.6846,0.0,0.48386,2.77,
Gardner_statements_wordcount__4c_all_topics_ev3.0,213,0.9689,0.9673,285.52,322.5,716.5294,0.0,0.497622,2.5303,
