model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse
Gardner_statements_wordcount__4a_total_sent_ev1.0,726,0.8726,0.8717,1220.35,1247.88,244.8527,0.0,
Gardner_statements_wordcount__4b_sent_sd_ev1.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sent_var_ev1.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_consensus_ev1.0,726,0.8871,0.8857,1140.44,1186.31,186.5003,0.0,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.0,726,0.8826,0.8812,1168.71,1214.58,167.0088,0.0,
Gardner_statements_wordcount__4c_all_topics_ev1.0,726,0.8744,0.8728,1217.85,1263.73,145.3791,0.0,
Gardner_statements_wordcount__4d_topic_pca_ev1.0,726,0.8743,0.8729,1216.39,1257.68,157.5491,0.0,,4d,1.0
Gardner_statements_wordcount__4e_total_interactions_ev1.0,726,0.8913,0.89,1112.76,1158.64,169.8365,0.0,
Gardner_statements_wordcount__4f_matched_interactions_ev1.0,726,0.882,0.8805,1172.93,1218.8,170.6106,0.0,
Gardner_statements_wordcount__4g_novelty_ev1.0,725,0.8739,0.8723,1218.08,1263.94,134.9435,0.0,
Gardner_statements_wordcount__4a_total_sent_ev1.5,726,0.8726,0.8717,1220.35,1247.88,244.8527,0.0,
Gardner_statements_wordcount__4b_sent_sd_ev1.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sent_var_ev1.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sd_var_joint_ev1.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_consensus_ev1.5,726,0.8871,0.8857,1140.44,1186.31,186.5003,0.0,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev1.5,726,0.8826,0.8812,1168.71,1214.58,167.0088,0.0,
Gardner_statements_wordcount__4c_all_topics_ev1.5,726,0.8744,0.8728,1217.85,1263.73,145.3791,0.0,
Gardner_statements_wordcount__4d_topic_pca_ev1.5,726,0.8743,0.8729,1216.39,1257.68,157.5491,0.0,,4d,1.5
Gardner_statements_wordcount__4e_total_interactions_ev1.5,726,0.8913,0.89,1112.76,1158.64,169.8365,0.0,
Gardner_statements_wordcount__4f_matched_interactions_ev1.5,726,0.882,0.8805,1172.93,1218.8,170.6106,0.0,
Gardner_statements_wordcount__4g_novelty_ev1.5,725,0.8739,0.8723,1218.08,1263.94,134.9435,0.0,
Gardner_statements_wordcount__4a_total_sent_ev2.0,726,0.8726,0.8717,1220.35,1247.88,244.8527,0.0,
Gardner_statements_wordcount__4b_sent_sd_ev2.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sent_var_ev2.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_consensus_ev2.0,726,0.8871,0.8857,1140.44,1186.31,186.5003,0.0,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.0,726,0.8826,0.8812,1168.71,1214.58,167.0088,0.0,
Gardner_statements_wordcount__4c_all_topics_ev2.0,726,0.8744,0.8728,1217.85,1263.73,145.3791,0.0,
Gardner_statements_wordcount__4d_topic_pca_ev2.0,726,0.8743,0.8729,1216.39,1257.68,157.5491,0.0,,4d,2.0
Gardner_statements_wordcount__4e_total_interactions_ev2.0,726,0.8913,0.89,1112.76,1158.64,169.8365,0.0,
Gardner_statements_wordcount__4f_matched_interactions_ev2.0,726,0.882,0.8805,1172.93,1218.8,170.6106,0.0,
Gardner_statements_wordcount__4g_novelty_ev2.0,725,0.8739,0.8723,1218.08,1263.94,134.9435,0.0,
Gardner_statements_wordcount__4a_total_sent_ev2.5,726,0.8726,0.8717,1220.35,1247.88,244.8527,0.0,
Gardner_statements_wordcount__4b_sent_sd_ev2.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sent_var_ev2.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sd_var_joint_ev2.5,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_consensus_ev2.5,726,0.8871,0.8857,1140.44,1186.31,186.5003,0.0,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev2.5,726,0.8826,0.8812,1168.71,1214.58,167.0088,0.0,
Gardner_statements_wordcount__4c_all_topics_ev2.5,726,0.8744,0.8728,1217.85,1263.73,145.3791,0.0,
Gardner_statements_wordcount__4d_topic_pca_ev2.5,726,0.8743,0.8729,1216.39,1257.68,157.5491,0.0,,4d,2.5
Gardner_statements_wordcount__4e_total_interactions_ev2.5,726,0.8913,0.89,1112.76,1158.64,169.8365,0.0,
Gardner_statements_wordcount__4f_matched_interactions_ev2.5,726,0.882,0.8805,1172.93,1218.8,170.6106,0.0,
Gardner_statements_wordcount__4g_novelty_ev2.5,725,0.8739,0.8723,1218.08,1263.94,134.9435,0.0,
Gardner_statements_wordcount__4a_total_sent_ev3.0,726,0.8726,0.8717,1220.35,1247.88,244.8527,0.0,
Gardner_statements_wordcount__4b_sent_sd_ev3.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sent_var_ev3.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_sd_var_joint_ev3.0,726,0.8724,0.8716,1219.67,1242.61,304.8528,0.0,
Gardner_statements_wordcount__4b_consensus_ev3.0,726,0.8871,0.8857,1140.44,1186.31,186.5003,0.0,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,726,0.8826,0.8812,1168.71,1214.58,167.0088,0.0,
