dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Sharpe,statements,zscore,Sharpe_statements_zscore,target_next,0.6,4e_total_interactions,0.9805,0.420861,4.5596,0.0
Sharpe,statements,wordcount,Sharpe_statements_wordcount,target_next,0.6,4e_total_interactions,0.9784,0.469952,3.673,
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,target_next,0.6,4e_total_interactions,0.9779,0.484035,0.8765,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,target_next,0.6,4e_total_interactions,0.9775,0.758419,,
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,target_next,0.6,4e_total_interactions,0.9774,0.720064,,
Gardner,statements,zscore,Gardner_statements_zscore,target_next,0.6,4e_total_interactions,0.9766,0.468441,3.2959,
Gardner,minutes,zscore,Gardner_minutes_zscore,target_next,0.6,4e_total_interactions,0.9761,0.569263,,
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,target_next,0.6,4e_total_interactions,0.976,0.452002,1.0788,
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,target_next,0.6,4e_total_interactions,0.9759,0.424733,2.6044,0.0046
Gardner,minutes,wordcount,Gardner_minutes_wordcount,target_next,0.6,4e_total_interactions,0.9759,0.595296,,
Gardner,statements,wordcount,Gardner_statements_wordcount,target_next,0.6,4e_total_interactions,0.9755,0.451201,3.0838,
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,target_next,0.6,4e_total_interactions,0.9748,0.504302,-0.677,
Gardner,speeches,zscore,Gardner_speeches_zscore,target_next,0.6,4e_total_interactions,0.9737,0.495226,0.6301,
Gardner,speeches,wordcount,Gardner_speeches_wordcount,target_next,0.6,4e_total_interactions,0.9734,0.522441,0.26,
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,target_next,0.6,4e_total_interactions,0.973,0.531525,-0.684,
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,target_next,0.6,4e_total_interactions,0.9725,0.710739,,
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,target_next,0.6,4b_consensus_matched_interactions,0.9723,0.672328,,
Sharpe,speeches,zscore,Sharpe_speeches_zscore,target_next,0.6,4e_total_interactions,0.9723,0.511258,-1.3707,
Sharpe,minutes,zscore,Sharpe_minutes_zscore,target_next,0.6,4b_sent_sd,0.9716,0.436296,,
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,target_next,0.6,4b_sent_sd,0.9716,0.436296,,
