dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Gardner,minutes,zscore,Gardner_minutes_zscore,delta_rate_next,0.6,4e_total_interactions,0.4356,0.372873,,
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,delta_rate_next,0.6,4e_total_interactions,0.4161,0.529318,,
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,delta_rate_next,0.6,4e_total_interactions,0.3964,0.451527,,
Sharpe,minutes,zscore,Sharpe_minutes_zscore,delta_rate_next,0.6,4e_total_interactions,0.3784,0.440908,,
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,delta_rate_next,0.6,4c_all_topics,0.3766,0.416153,,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,delta_rate_next,0.6,4e_total_interactions,0.3693,0.500824,,
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,delta_rate_next,0.6,4d,0.3662,0.407687,,
Gardner,minutes,wordcount,Gardner_minutes_wordcount,delta_rate_next,0.6,4b_consensus,0.3624,0.418795,,
Gardner,statements,wordcount,Gardner_statements_wordcount,delta_rate_next,0.6,4e_total_interactions,0.2687,0.291725,1.6566,0.0488
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,delta_rate_next,0.6,4e_total_interactions,0.2634,0.292149,1.1465,0.1258
Gardner,speeches,zscore,Gardner_speeches_zscore,delta_rate_next,0.6,4f_matched_interactions,0.2569,0.276561,1.8243,0.0341
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,delta_rate_next,0.6,4f_matched_interactions,0.2488,0.289676,2.2157,0.0134
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,delta_rate_next,0.6,4e_total_interactions,0.2368,0.295903,1.2291,0.1095
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,delta_rate_next,0.6,4e_total_interactions,0.2295,0.30386,0.7838,
Gardner,statements,zscore,Gardner_statements_zscore,delta_rate_next,0.6,4e_total_interactions,0.2242,0.31312,1.246,
Gardner,speeches,wordcount,Gardner_speeches_wordcount,delta_rate_next,0.6,4f_matched_interactions,0.2152,0.295079,1.2089,0.1134
Sharpe,statements,wordcount,Sharpe_statements_wordcount,delta_rate_next,0.6,4e_total_interactions,0.2051,0.309154,0.3113,
Sharpe,statements,zscore,Sharpe_statements_zscore,delta_rate_next,0.6,4b_consensus,0.203,0.291834,1.5942,0.0554
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,delta_rate_next,0.6,4b_consensus,0.2005,0.293332,2.2124,0.0135
Sharpe,speeches,zscore,Sharpe_speeches_zscore,delta_rate_next,0.6,4g_novelty,0.1965,0.295088,0.9496,
