dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Sharpe,statements,wordcount,Sharpe_statements_wordcount,target_next,0.8,4e_total_interactions,0.9781,0.413236,2.8427,0.0022
Sharpe,statements,zscore,Sharpe_statements_zscore,target_next,0.8,4e_total_interactions,0.9773,0.442836,2.8638,0.0021
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9771,0.582292,,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.977,0.518266,,
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9769,0.434154,1.9386,0.0263
Gardner,minutes,zscore,Gardner_minutes_zscore,target_next,0.8,4e_total_interactions,0.9743,0.33316,,
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9731,0.497571,0.3765,
Gardner,statements,zscore,Gardner_statements_zscore,target_next,0.8,4e_total_interactions,0.9728,0.478396,3.1944,
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9719,0.429667,2.2775,0.0114
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9716,0.422411,1.5275,0.0633
Gardner,statements,wordcount,Gardner_statements_wordcount,target_next,0.8,4e_total_interactions,0.9712,0.43064,2.8568,0.0021
Gardner,speeches,zscore,Gardner_speeches_zscore,target_next,0.8,4e_total_interactions,0.9705,0.459875,1.4984,0.067
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.97,0.423559,,
Sharpe,minutes,zscore,Sharpe_minutes_zscore,target_next,0.8,4e_total_interactions,0.97,0.449715,,
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9697,0.472831,1.5673,
Gardner,minutes,wordcount,Gardner_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9687,0.414778,,
Sharpe,speeches,zscore,Sharpe_speeches_zscore,target_next,0.8,4e_total_interactions,0.9685,0.481738,0.6101,
Gardner,speeches,wordcount,Gardner_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9685,0.481502,0.6681,
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,target_next,0.8,4b_consensus_matched_interactions,0.9675,0.362849,,
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,target_next,0.8,4b_sent_sd,0.9669,0.469296,,
