dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Sharpe,statements,zscore,Sharpe_statements_zscore,target_next,0.8,4e_total_interactions,0.9821,0.295724,4.5369,0.0
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9777,0.495927,,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9771,0.551576,,
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9769,0.580457,,
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9752,0.485031,1.449,0.0737
Sharpe,statements,wordcount,Sharpe_statements_wordcount,target_next,0.8,4e_total_interactions,0.9747,0.436009,3.0749,0.0011
Gardner,statements,wordcount,Gardner_statements_wordcount,target_next,0.8,4e_total_interactions,0.9747,0.506881,1.2935,0.0979
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9746,0.445335,2.1272,0.0167
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9738,0.550371,,
Gardner,statements,zscore,Gardner_statements_zscore,target_next,0.8,4e_total_interactions,0.9736,0.538896,0.9874,
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9735,0.561889,1.0434,
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.973,0.490826,1.8892,0.0294
Gardner,minutes,zscore,Gardner_minutes_zscore,target_next,0.8,4e_total_interactions,0.9729,0.488407,1.3755,0.0845
Gardner,minutes,wordcount,Gardner_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9725,0.5502,1.1891,
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9716,0.581367,0.8405,
Gardner,speeches,wordcount,Gardner_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9703,0.427894,2.9564,0.0016
Gardner,speeches,zscore,Gardner_speeches_zscore,target_next,0.8,4e_total_interactions,0.9699,0.513925,1.6072,0.054
Sharpe,minutes,zscore,Sharpe_minutes_zscore,target_next,0.8,4e_total_interactions,0.9695,0.537609,0.3224,
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9687,0.521193,1.268,0.1024
Sharpe,speeches,zscore,Sharpe_speeches_zscore,target_next,0.8,4e_total_interactions,0.9675,0.525055,1.1518,0.1247
