model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,cw_tstat,cw_pval,spec,extreme_val
4a_total_sent_ev1.0,151,0.9697,0.9685,183.31,204.44,1045.8913,0.0,0.567667,0.540354,0.485894,0.385647,1.9772,0.024,4a_total_sent,1.0
4b_sent_sd_ev1.0,151,0.968,0.9667,191.53,212.65,1015.2565,0.0,0.587303,0.575671,0.538222,0.441839,-0.4997,,4b_sent_sd,1.0
4b_sent_var_ev1.0,151,0.968,0.9667,191.69,212.81,1024.8148,0.0,0.588297,0.5766,0.53678,0.43306,-1.0941,,4b_sent_var,1.0
4b_sd_var_joint_ev1.0,151,0.969,0.9675,188.73,212.86,871.3384,0.0,0.574199,0.557315,0.52104,0.441189,1.3271,0.0922,4b_sd_var_joint,1.0
4b_sd_macro_interactions_ev1.0,151,0.9771,0.9754,149.5,182.69,851.2218,0.0,0.527352,0.545583,0.425512,0.332363,2.831,0.0023,4b_sd_macro_interactions,1.0
4b_topic_sd_matched_interactions_ev1.0,151,0.9743,0.9723,168.74,204.95,591.3089,0.0,0.535508,0.503452,0.473838,0.372756,3.3257,0.0004,4b_topic_sd_matched_interactions,1.0
4c_all_topics_ev1.0,151,0.9755,0.9736,161.47,197.68,590.7558,0.0,0.522561,0.506847,0.489251,0.325997,2.7807,0.0027,4c_all_topics,1.0
4d_topic_pca_ev1.0,151,0.9753,0.9736,160.41,193.6,677.4431,0.0,0.50857,0.466255,0.468953,0.314083,2.5501,0.0054,4d,1.0
4e_total_interactions_ev1.0,151,0.9734,0.9713,174.06,210.27,689.8345,0.0,0.583185,0.575507,0.499485,0.360254,1.6672,0.0477,4e_total_interactions,1.0
4f_matched_interactions_ev1.0,151,0.9714,0.9691,184.77,220.98,626.1931,0.0,0.610601,0.610551,0.573641,0.300965,1.9223,,4f_matched_interactions,1.0
4g_novelty_ev1.0,150,0.9676,0.9647,202.5,241.64,475.7606,0.0,0.617526,0.592394,0.53398,0.439372,2.9267,,4g_novelty,1.0
4h_joint_pca_total_ev1.0,151,0.9605,0.9591,221.62,239.72,937.9159,0.0,0.563119,0.62624,0.25479,0.227565,5.0826,0.0,4h_joint_pca_total,1.0
4h_joint_pca_inf_mp_ev1.0,151,0.9678,0.9666,190.93,209.03,1225.5929,0.0,0.479207,0.529388,0.303306,0.217559,4.353,0.0,4h_joint_pca_inf_mp,1.0
4h_joint_pca_labor_ev1.0,151,0.9694,0.9683,183.18,201.28,1214.9368,0.0,0.49367,0.551108,0.347477,0.21032,5.9652,0.0,4h_joint_pca_labor,1.0
4h_joint_pca_all_ev1.0,151,0.9646,0.9627,210.82,237.98,757.9202,0.0,0.725177,0.818003,0.265929,0.2232,3.0017,,4h_joint_pca_all,1.0
4a_total_sent_ev1.5,151,0.9697,0.9685,183.31,204.44,1045.8913,0.0,0.567667,0.540354,0.485894,0.385647,1.9772,0.024,4a_total_sent,1.5
4b_sent_sd_ev1.5,151,0.968,0.9667,191.53,212.65,1015.2565,0.0,0.587303,0.575671,0.538222,0.441839,-0.4997,,4b_sent_sd,1.5
4b_sent_var_ev1.5,151,0.968,0.9667,191.69,212.81,1024.8148,0.0,0.588297,0.5766,0.53678,0.43306,-1.0941,,4b_sent_var,1.5
4b_sd_var_joint_ev1.5,151,0.969,0.9675,188.73,212.86,871.3384,0.0,0.574199,0.557315,0.52104,0.441189,1.3271,0.0922,4b_sd_var_joint,1.5
4b_sd_macro_interactions_ev1.5,151,0.9771,0.9754,149.5,182.69,851.2218,0.0,0.527352,0.545583,0.425512,0.332363,2.831,0.0023,4b_sd_macro_interactions,1.5
4b_topic_sd_matched_interactions_ev1.5,151,0.9743,0.9723,168.74,204.95,591.3089,0.0,0.535508,0.503452,0.473838,0.372756,3.3257,0.0004,4b_topic_sd_matched_interactions,1.5
4c_all_topics_ev1.5,151,0.9755,0.9736,161.47,197.68,590.7558,0.0,0.522561,0.506847,0.489251,0.325997,2.7807,0.0027,4c_all_topics,1.5
4d_topic_pca_ev1.5,151,0.9753,0.9736,160.41,193.6,677.4431,0.0,0.50857,0.466255,0.468953,0.314083,2.5501,0.0054,4d,1.5
4e_total_interactions_ev1.5,151,0.9734,0.9713,174.06,210.27,689.8345,0.0,0.583185,0.575507,0.499485,0.360254,1.6672,0.0477,4e_total_interactions,1.5
4f_matched_interactions_ev1.5,151,0.9714,0.9691,184.77,220.98,626.1931,0.0,0.610601,0.610551,0.573641,0.300965,1.9223,,4f_matched_interactions,1.5
4g_novelty_ev1.5,150,0.9676,0.9647,202.5,241.64,475.7606,0.0,0.617526,0.592394,0.53398,0.439372,2.9267,,4g_novelty,1.5
4a_total_sent_ev2.0,151,0.9697,0.9685,183.31,204.44,1045.8913,0.0,0.567667,0.540354,0.485894,0.385647,1.9772,0.024,4a_total_sent,2.0
4b_sent_sd_ev2.0,151,0.968,0.9667,191.53,212.65,1015.2565,0.0,0.587303,0.575671,0.538222,0.441839,-0.4997,,4b_sent_sd,2.0
4b_sent_var_ev2.0,151,0.968,0.9667,191.69,212.81,1024.8148,0.0,0.588297,0.5766,0.53678,0.43306,-1.0941,,4b_sent_var,2.0
4b_sd_var_joint_ev2.0,151,0.969,0.9675,188.73,212.86,871.3384,0.0,0.574199,0.557315,0.52104,0.441189,1.3271,0.0922,4b_sd_var_joint,2.0
4b_sd_macro_interactions_ev2.0,151,0.9771,0.9754,149.5,182.69,851.2218,0.0,0.527352,0.545583,0.425512,0.332363,2.831,0.0023,4b_sd_macro_interactions,2.0
4b_topic_sd_matched_interactions_ev2.0,151,0.9743,0.9723,168.74,204.95,591.3089,0.0,0.535508,0.503452,0.473838,0.372756,3.3257,0.0004,4b_topic_sd_matched_interactions,2.0
4c_all_topics_ev2.0,151,0.9755,0.9736,161.47,197.68,590.7558,0.0,0.522561,0.506847,0.489251,0.325997,2.7807,0.0027,4c_all_topics,2.0
4d_topic_pca_ev2.0,151,0.9753,0.9736,160.41,193.6,677.4431,0.0,0.50857,0.466255,0.468953,0.314083,2.5501,0.0054,4d,2.0
4e_total_interactions_ev2.0,151,0.9734,0.9713,174.06,210.27,689.8345,0.0,0.583185,0.575507,0.499485,0.360254,1.6672,0.0477,4e_total_interactions,2.0
4f_matched_interactions_ev2.0,151,0.9714,0.9691,184.77,220.98,626.1931,0.0,0.610601,0.610551,0.573641,0.300965,1.9223,,4f_matched_interactions,2.0
4g_novelty_ev2.0,150,0.9676,0.9647,202.5,241.64,475.7606,0.0,0.617526,0.592394,0.53398,0.439372,2.9267,,4g_novelty,2.0
4a_total_sent_ev2.5,151,0.9697,0.9685,183.31,204.44,1045.8913,0.0,0.567667,0.540354,0.485894,0.385647,1.9772,0.024,4a_total_sent,2.5
4b_sent_sd_ev2.5,151,0.968,0.9667,191.53,212.65,1015.2565,0.0,0.587303,0.575671,0.538222,0.441839,-0.4997,,4b_sent_sd,2.5
