model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_minutes_wordcount__4a_total_sent_ev1.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,0.547111,-1.5261,,4a_total_sent,1.0
Gardner_minutes_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Gardner_minutes_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Gardner_minutes_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Gardner_minutes_wordcount__4b_consensus_ev1.0,151,0.9746,0.9728,164.77,197.96,812.5976,0.0,0.425518,2.8489,0.0022,4b_consensus,1.0
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev1.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,0.535598,0.4253,,4b_consensus_matched_interactions,1.0
Gardner_minutes_wordcount__4c_all_topics_ev1.0,151,0.9731,0.9712,173.41,206.6,849.6599,0.0,0.41973,2.8403,0.0023,4c_all_topics,1.0
Gardner_minutes_wordcount__4d_topic_pca_ev1.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,0.491412,2.3906,0.0084,4d,1.0
Gardner_minutes_wordcount__4e_total_interactions_ev1.0,151,0.9801,0.9785,130.12,166.33,799.9323,0.0,0.377648,2.2553,0.0121,4e_total_interactions,1.0
Gardner_minutes_wordcount__4f_matched_interactions_ev1.0,151,0.9731,0.9712,173.37,206.56,1076.3784,0.0,0.496263,2.1152,0.0172,4f_matched_interactions,1.0
Gardner_minutes_wordcount__4g_novelty_ev1.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,0.53804,1.8171,0.0346,4g_novelty,1.0
Gardner_minutes_wordcount__4a_total_sent_ev1.5,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,0.547111,-1.5261,,4a_total_sent,1.5
Gardner_minutes_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Gardner_minutes_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Gardner_minutes_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Gardner_minutes_wordcount__4b_consensus_ev1.5,151,0.9746,0.9728,164.77,197.96,812.5973,0.0,0.425518,2.8489,0.0022,4b_consensus,1.5
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev1.5,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,0.535598,0.4253,,4b_consensus_matched_interactions,1.5
Gardner_minutes_wordcount__4c_all_topics_ev1.5,151,0.9731,0.9712,173.41,206.6,849.6493,0.0,0.41973,2.8403,0.0023,4c_all_topics,1.5
Gardner_minutes_wordcount__4d_topic_pca_ev1.5,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,0.491412,2.3906,0.0084,4d,1.5
Gardner_minutes_wordcount__4e_total_interactions_ev1.5,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,0.377648,2.2553,0.0121,4e_total_interactions,1.5
Gardner_minutes_wordcount__4f_matched_interactions_ev1.5,151,0.9731,0.9712,173.37,206.56,1076.3806,0.0,0.496263,2.1152,0.0172,4f_matched_interactions,1.5
Gardner_minutes_wordcount__4g_novelty_ev1.5,150,0.9686,0.9663,193.83,226.94,664.133,0.0,0.53804,1.8171,0.0346,4g_novelty,1.5
Gardner_minutes_wordcount__4a_total_sent_ev2.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,0.547111,-1.5261,,4a_total_sent,2.0
Gardner_minutes_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Gardner_minutes_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Gardner_minutes_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Gardner_minutes_wordcount__4b_consensus_ev2.0,151,0.9746,0.9728,164.77,197.96,812.5972,0.0,0.425518,2.8489,0.0022,4b_consensus,2.0
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev2.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,0.535598,0.4253,,4b_consensus_matched_interactions,2.0
Gardner_minutes_wordcount__4c_all_topics_ev2.0,151,0.9731,0.9712,173.41,206.6,849.6498,0.0,0.41973,2.8403,0.0023,4c_all_topics,2.0
Gardner_minutes_wordcount__4d_topic_pca_ev2.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,0.491412,2.3906,0.0084,4d,2.0
Gardner_minutes_wordcount__4e_total_interactions_ev2.0,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,0.377648,2.2553,0.0121,4e_total_interactions,2.0
Gardner_minutes_wordcount__4f_matched_interactions_ev2.0,151,0.9731,0.9712,173.37,206.56,1076.3809,0.0,0.496263,2.1152,0.0172,4f_matched_interactions,2.0
Gardner_minutes_wordcount__4g_novelty_ev2.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,0.53804,1.8171,0.0346,4g_novelty,2.0
Gardner_minutes_wordcount__4a_total_sent_ev2.5,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,0.547111,-1.5261,,4a_total_sent,2.5
Gardner_minutes_wordcount__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Gardner_minutes_wordcount__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Gardner_minutes_wordcount__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Gardner_minutes_wordcount__4b_consensus_ev2.5,151,0.9746,0.9728,164.77,197.96,812.5974,0.0,0.425518,2.8489,0.0022,4b_consensus,2.5
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev2.5,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,0.535598,0.4253,,4b_consensus_matched_interactions,2.5
Gardner_minutes_wordcount__4c_all_topics_ev2.5,151,0.9731,0.9712,173.41,206.6,849.6481,0.0,0.41973,2.8403,0.0023,4c_all_topics,2.5
Gardner_minutes_wordcount__4d_topic_pca_ev2.5,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,0.491412,2.3906,0.0084,4d,2.5
Gardner_minutes_wordcount__4e_total_interactions_ev2.5,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,0.377648,2.2553,0.0121,4e_total_interactions,2.5
Gardner_minutes_wordcount__4f_matched_interactions_ev2.5,151,0.9731,0.9712,173.37,206.56,1076.3812,0.0,0.496263,2.1152,0.0172,4f_matched_interactions,2.5
Gardner_minutes_wordcount__4g_novelty_ev2.5,150,0.9686,0.9663,193.83,226.94,664.133,0.0,0.53804,1.8171,0.0346,4g_novelty,2.5
Gardner_minutes_wordcount__4a_total_sent_ev3.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,0.547111,-1.5261,,4a_total_sent,3.0
Gardner_minutes_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_minutes_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_minutes_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_minutes_wordcount__4b_consensus_ev3.0,151,0.9746,0.9728,164.77,197.96,812.5971,0.0,0.425518,2.8489,0.0022,4b_consensus,3.0
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,0.535598,0.4253,,4b_consensus_matched_interactions,3.0
Gardner_minutes_wordcount__4c_all_topics_ev3.0,151,0.9731,0.9712,173.41,206.6,849.644,0.0,0.41973,2.8403,0.0023,4c_all_topics,3.0
Gardner_minutes_wordcount__4d_topic_pca_ev3.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,0.491412,2.3906,0.0084,4d,3.0
Gardner_minutes_wordcount__4e_total_interactions_ev3.0,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,0.377648,2.2553,0.0121,4e_total_interactions,3.0
Gardner_minutes_wordcount__4f_matched_interactions_ev3.0,151,0.9731,0.9712,173.37,206.56,1076.3806,0.0,0.496263,2.1152,0.0172,4f_matched_interactions,3.0
Gardner_minutes_wordcount__4g_novelty_ev3.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,0.53804,1.8171,0.0346,4g_novelty,3.0
