model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_speeches_wordcount__4a_total_sent_ev1.0,151,0.9681,0.9668,191.2,212.32,1174.2296,0.0,0.538859,-0.5307,,4a_total_sent,1.0
Gardner_speeches_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Gardner_speeches_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Gardner_speeches_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Gardner_speeches_wordcount__4b_consensus_ev1.0,151,0.9736,0.9717,170.6,203.79,744.0825,0.0,0.521449,1.0798,0.1401,4b_consensus,1.0
Gardner_speeches_wordcount__4b_consensus_matched_interactions_ev1.0,151,0.9758,0.9741,157.58,190.77,904.8395,0.0,0.332997,2.5191,0.0059,4b_consensus_matched_interactions,1.0
Gardner_speeches_wordcount__4c_all_topics_ev1.0,151,0.9762,0.9745,155.01,188.2,1223.1495,0.0,0.532633,0.6032,0.2732,4c_all_topics,1.0
Gardner_speeches_wordcount__4d_topic_pca_ev1.0,151,0.9755,0.9737,159.73,192.92,1166.5287,0.0,0.443588,1.8209,0.0343,4d,1.0
Gardner_speeches_wordcount__4e_total_interactions_ev1.0,151,0.9788,0.9771,139.8,176.01,1086.1475,0.0,0.417688,2.1724,0.0149,4e_total_interactions,1.0
Gardner_speeches_wordcount__4f_matched_interactions_ev1.0,151,0.9751,0.9733,161.77,194.96,875.3676,0.0,0.506744,1.9741,0.0242,4f_matched_interactions,1.0
Gardner_speeches_wordcount__4g_novelty_ev1.0,150,0.9676,0.9653,198.32,231.43,57.2872,0.0,0.52585,1.9547,0.0253,4g_novelty,1.0
Gardner_speeches_wordcount__4a_total_sent_ev1.5,151,0.9681,0.9668,191.2,212.32,1174.2296,0.0,0.538859,-0.5307,,4a_total_sent,1.5
Gardner_speeches_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Gardner_speeches_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Gardner_speeches_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Gardner_speeches_wordcount__4b_consensus_ev1.5,151,0.9736,0.9717,170.6,203.79,744.0823,0.0,0.521449,1.0798,0.1401,4b_consensus,1.5
Gardner_speeches_wordcount__4b_consensus_matched_interactions_ev1.5,151,0.9758,0.9741,157.58,190.77,904.8394,0.0,0.332997,2.5191,0.0059,4b_consensus_matched_interactions,1.5
Gardner_speeches_wordcount__4c_all_topics_ev1.5,151,0.9762,0.9745,155.01,188.2,1101.3492,0.0,0.532633,0.6032,0.2732,4c_all_topics,1.5
Gardner_speeches_wordcount__4d_topic_pca_ev1.5,151,0.9755,0.9737,159.73,192.92,1166.5287,0.0,0.443588,1.8209,0.0343,4d,1.5
Gardner_speeches_wordcount__4e_total_interactions_ev1.5,151,0.9788,0.9771,139.8,176.01,1086.1476,0.0,0.417688,2.1724,0.0149,4e_total_interactions,1.5
Gardner_speeches_wordcount__4f_matched_interactions_ev1.5,151,0.9751,0.9733,161.77,194.96,875.3558,0.0,0.506744,1.9741,0.0242,4f_matched_interactions,1.5
Gardner_speeches_wordcount__4g_novelty_ev1.5,150,0.9676,0.9653,198.32,231.43,57.2872,0.0,0.52585,1.9547,0.0253,4g_novelty,1.5
Gardner_speeches_wordcount__4a_total_sent_ev2.0,151,0.9681,0.9668,191.2,212.32,1174.2296,0.0,0.538859,-0.5307,,4a_total_sent,2.0
Gardner_speeches_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Gardner_speeches_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Gardner_speeches_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Gardner_speeches_wordcount__4b_consensus_ev2.0,151,0.9736,0.9717,170.6,203.79,744.082,0.0,0.521449,1.0798,0.1401,4b_consensus,2.0
