model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev1.0,151,0.9683,0.967,190.44,211.56,1220.3395,0.0,0.559291,-0.9077,,4a_total_sent,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev1.0,151,0.9811,0.9798,120.22,153.41,1089.6726,0.0,0.474191,2.5883,0.0048,4b_consensus,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_matched_interactions_ev1.0,151,0.9773,0.9757,147.64,180.83,813.5999,0.0,0.449464,3.0714,0.0011,4b_consensus_matched_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4c_all_topics_ev1.0,151,0.9743,0.9724,166.88,200.07,755.8356,0.0,0.560831,0.187,,4c_all_topics,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4d_topic_pca_ev1.0,151,0.9809,0.9796,120.13,150.3,1325.8943,0.0,0.351715,3.5038,0.0002,4d,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev1.0,151,0.9781,0.9764,144.47,180.68,912.6169,0.0,0.342273,3.3763,0.0004,4e_total_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev1.0,151,0.9736,0.9717,170.89,204.08,888.4485,0.0,0.459031,3.1853,0.0007,4f_matched_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev1.0,150,0.9686,0.9663,193.59,226.71,684.6694,0.0,0.541877,1.8681,,4g_novelty,1.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev1.5,151,0.9683,0.967,190.44,211.56,1220.3395,0.0,0.559291,-0.9077,,4a_total_sent,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev1.5,151,0.9811,0.9798,120.22,153.41,1089.6726,0.0,0.474191,2.5883,0.0048,4b_consensus,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_matched_interactions_ev1.5,151,0.9773,0.9757,147.64,180.83,813.5999,0.0,0.449464,3.0714,0.0011,4b_consensus_matched_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4c_all_topics_ev1.5,151,0.9743,0.9724,166.88,200.07,755.8356,0.0,0.560831,0.187,,4c_all_topics,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4d_topic_pca_ev1.5,151,0.9809,0.9796,120.13,150.3,1325.8943,0.0,0.351715,3.5038,0.0002,4d,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev1.5,151,0.9781,0.9764,144.47,180.68,912.6169,0.0,0.342273,3.3763,0.0004,4e_total_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev1.5,151,0.9736,0.9717,170.89,204.08,888.4485,0.0,0.459031,3.1853,0.0007,4f_matched_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev1.5,150,0.9686,0.9663,193.59,226.71,684.6694,0.0,0.541877,1.8681,,4g_novelty,1.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev2.0,151,0.9683,0.967,190.44,211.56,1220.3395,0.0,0.559291,-0.9077,,4a_total_sent,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev2.0,151,0.9811,0.9798,120.22,153.41,1089.6726,0.0,0.474191,2.5883,0.0048,4b_consensus,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_matched_interactions_ev2.0,151,0.9773,0.9757,147.64,180.83,813.5999,0.0,0.449464,3.0714,0.0011,4b_consensus_matched_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4c_all_topics_ev2.0,151,0.9743,0.9724,166.88,200.07,755.8356,0.0,0.560831,0.187,,4c_all_topics,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4d_topic_pca_ev2.0,151,0.9809,0.9796,120.13,150.3,1325.8943,0.0,0.351715,3.5038,0.0002,4d,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev2.0,151,0.9781,0.9764,144.47,180.68,912.6169,0.0,0.342273,3.3763,0.0004,4e_total_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev2.0,151,0.9736,0.9717,170.89,204.08,888.4485,0.0,0.459031,3.1853,0.0007,4f_matched_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev2.0,150,0.9686,0.9663,193.59,226.71,684.6694,0.0,0.541877,1.8681,,4g_novelty,2.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev2.5,151,0.9683,0.967,190.44,211.56,1220.3395,0.0,0.559291,-0.9077,,4a_total_sent,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev2.5,151,0.9811,0.9798,120.22,153.41,1089.6726,0.0,0.474191,2.5883,0.0048,4b_consensus,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_matched_interactions_ev2.5,151,0.9773,0.9757,147.64,180.83,813.5999,0.0,0.449464,3.0714,0.0011,4b_consensus_matched_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4c_all_topics_ev2.5,151,0.9743,0.9724,166.88,200.07,755.8356,0.0,0.560831,0.187,,4c_all_topics,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4d_topic_pca_ev2.5,151,0.9809,0.9796,120.13,150.3,1325.8943,0.0,0.351715,3.5038,0.0002,4d,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev2.5,151,0.9781,0.9764,144.47,180.68,912.6169,0.0,0.342273,3.3763,0.0004,4e_total_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev2.5,151,0.9736,0.9717,170.89,204.08,888.4485,0.0,0.459031,3.1853,0.0007,4f_matched_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev2.5,150,0.9686,0.9663,193.59,226.71,684.6694,0.0,0.541877,1.8681,,4g_novelty,2.5
Gardner_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev3.0,151,0.9683,0.967,190.44,211.56,1220.3395,0.0,0.559291,-0.9077,,4a_total_sent,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev3.0,151,0.9811,0.9798,120.22,153.41,1089.6726,0.0,0.474191,2.5883,0.0048,4b_consensus,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9773,0.9757,147.64,180.83,813.5999,0.0,0.449464,3.0714,0.0011,4b_consensus_matched_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4c_all_topics_ev3.0,151,0.9743,0.9724,166.88,200.07,755.8356,0.0,0.560831,0.187,,4c_all_topics,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4d_topic_pca_ev3.0,151,0.9809,0.9796,120.13,150.3,1325.8943,0.0,0.351715,3.5038,0.0002,4d,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev3.0,151,0.9781,0.9764,144.47,180.68,912.6169,0.0,0.342273,3.3763,0.0004,4e_total_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev3.0,151,0.9736,0.9717,170.89,204.08,888.4485,0.0,0.459031,3.1853,0.0007,4f_matched_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev3.0,150,0.9686,0.9663,193.59,226.71,684.6694,0.0,0.541877,1.8681,,4g_novelty,3.0
