model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev1.0,151,0.9686,0.9673,188.99,210.11,947.9901,0.0,0.522544,0.6856,0.2465,4a_total_sent,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev1.0,151,0.9829,0.9817,104.72,137.91,1056.3796,0.0,0.343211,2.9175,0.0018,4b_consensus,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_matched_interactions_ev1.0,151,0.9761,0.9744,155.79,188.98,642.5745,0.0,0.455992,1.8271,0.0338,4b_consensus_matched_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4c_all_topics_ev1.0,151,0.9703,0.9682,188.48,221.67,800.2038,0.0,0.520956,1.1111,0.1333,4c_all_topics,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4d_topic_pca_ev1.0,151,0.9704,0.9685,186.04,216.21,821.9311,0.0,0.500852,1.7567,0.0395,4d,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev1.0,151,0.9824,0.981,111.15,147.36,1106.5126,0.0,0.313812,2.8267,0.0024,4e_total_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev1.0,151,0.9795,0.9781,132.2,165.39,1235.0547,0.0,0.334677,3.7605,0.0001,4f_matched_interactions,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev1.0,150,0.9689,0.9664,194.33,230.46,640.8667,0.0,0.516032,2.0236,0.0215,4g_novelty,1.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev1.5,151,0.9686,0.9673,188.99,210.11,947.9901,0.0,0.522544,0.6856,0.2465,4a_total_sent,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev1.5,151,0.9829,0.9817,104.72,137.91,1056.3796,0.0,0.343211,2.9175,0.0018,4b_consensus,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_matched_interactions_ev1.5,151,0.9761,0.9744,155.79,188.98,642.5745,0.0,0.455992,1.8271,0.0338,4b_consensus_matched_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4c_all_topics_ev1.5,151,0.9703,0.9682,188.48,221.67,800.2038,0.0,0.520956,1.1111,0.1333,4c_all_topics,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4d_topic_pca_ev1.5,151,0.9704,0.9685,186.04,216.21,821.9311,0.0,0.500852,1.7567,0.0395,4d,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev1.5,151,0.9824,0.981,111.15,147.36,1106.5126,0.0,0.313812,2.8267,0.0024,4e_total_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev1.5,151,0.9795,0.9781,132.2,165.39,1235.0547,0.0,0.334677,3.7605,0.0001,4f_matched_interactions,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev1.5,150,0.9689,0.9664,194.33,230.46,640.8667,0.0,0.516032,2.0236,0.0215,4g_novelty,1.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev2.0,151,0.9686,0.9673,188.99,210.11,947.9901,0.0,0.522544,0.6856,0.2465,4a_total_sent,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev2.0,151,0.9829,0.9817,104.72,137.91,1056.3796,0.0,0.343211,2.9175,0.0018,4b_consensus,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_matched_interactions_ev2.0,151,0.9761,0.9744,155.79,188.98,642.5745,0.0,0.455992,1.8271,0.0338,4b_consensus_matched_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4c_all_topics_ev2.0,151,0.9703,0.9682,188.48,221.67,800.2038,0.0,0.520956,1.1111,0.1333,4c_all_topics,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4d_topic_pca_ev2.0,151,0.9704,0.9685,186.04,216.21,821.9311,0.0,0.500852,1.7567,0.0395,4d,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev2.0,151,0.9824,0.981,111.15,147.36,1106.5126,0.0,0.313812,2.8267,0.0024,4e_total_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev2.0,151,0.9795,0.9781,132.2,165.39,1235.0547,0.0,0.334677,3.7605,0.0001,4f_matched_interactions,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev2.0,150,0.9689,0.9664,194.33,230.46,640.8667,0.0,0.516032,2.0236,0.0215,4g_novelty,2.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev2.5,151,0.9686,0.9673,188.99,210.11,947.9901,0.0,0.522544,0.6856,0.2465,4a_total_sent,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev2.5,151,0.9829,0.9817,104.72,137.91,1056.3796,0.0,0.343211,2.9175,0.0018,4b_consensus,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9761,0.9744,155.79,188.98,642.5745,0.0,0.455992,1.8271,0.0338,4b_consensus_matched_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4c_all_topics_ev2.5,151,0.9703,0.9682,188.48,221.67,800.2038,0.0,0.520956,1.1111,0.1333,4c_all_topics,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4d_topic_pca_ev2.5,151,0.9704,0.9685,186.04,216.21,821.9311,0.0,0.500852,1.7567,0.0395,4d,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev2.5,151,0.9824,0.981,111.15,147.36,1106.5126,0.0,0.313812,2.8267,0.0024,4e_total_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev2.5,151,0.9795,0.9781,132.2,165.39,1235.0547,0.0,0.334677,3.7605,0.0001,4f_matched_interactions,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev2.5,150,0.9689,0.9664,194.33,230.46,640.8667,0.0,0.516032,2.0236,0.0215,4g_novelty,2.5
Gardner_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev3.0,151,0.9686,0.9673,188.99,210.11,947.9901,0.0,0.522544,0.6856,0.2465,4a_total_sent,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev3.0,151,0.9829,0.9817,104.72,137.91,1056.3796,0.0,0.343211,2.9175,0.0018,4b_consensus,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4b_consensus_matched_interactions_ev3.0,151,0.9761,0.9744,155.79,188.98,642.5745,0.0,0.455992,1.8271,0.0338,4b_consensus_matched_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4c_all_topics_ev3.0,151,0.9703,0.9682,188.48,221.67,800.2038,0.0,0.520956,1.1111,0.1333,4c_all_topics,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4d_topic_pca_ev3.0,151,0.9704,0.9685,186.04,216.21,821.9311,0.0,0.500852,1.7567,0.0395,4d,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev3.0,151,0.9824,0.981,111.15,147.36,1106.5126,0.0,0.313812,2.8267,0.0024,4e_total_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev3.0,151,0.9795,0.9781,132.2,165.39,1235.0547,0.0,0.334677,3.7605,0.0001,4f_matched_interactions,3.0
Gardner_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev3.0,150,0.9689,0.9664,194.33,230.46,640.8667,0.0,0.516032,2.0236,0.0215,4g_novelty,3.0
