model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_statements_zscore__4a_total_sent_ev1.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,0.529274,0.5678,0.2851,4a_total_sent,1.0
Gardner_statements_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Gardner_statements_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Gardner_statements_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Gardner_statements_zscore__4b_consensus_ev1.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,0.602379,0.4173,,4b_consensus,1.0
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,0.54295,0.5536,,4b_consensus_matched_interactions,1.0
Gardner_statements_zscore__4c_all_topics_ev1.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,0.586477,-0.6901,,4c_all_topics,1.0
Gardner_statements_zscore__4d_topic_pca_ev1.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,0.485971,1.5923,0.0557,4d,1.0
Gardner_statements_zscore__4e_total_interactions_ev1.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,0.352638,2.5789,0.005,4e_total_interactions,1.0
Gardner_statements_zscore__4f_matched_interactions_ev1.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,0.420024,3.0619,0.0011,4f_matched_interactions,1.0
Gardner_statements_zscore__4g_novelty_ev1.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,0.479848,2.3244,0.0101,4g_novelty,1.0
Gardner_statements_zscore__4a_total_sent_ev1.5,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,0.529274,0.5678,0.2851,4a_total_sent,1.5
Gardner_statements_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Gardner_statements_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Gardner_statements_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Gardner_statements_zscore__4b_consensus_ev1.5,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,0.602379,0.4173,,4b_consensus,1.5
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.5,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,0.54295,0.5536,,4b_consensus_matched_interactions,1.5
Gardner_statements_zscore__4c_all_topics_ev1.5,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,0.586477,-0.6901,,4c_all_topics,1.5
Gardner_statements_zscore__4d_topic_pca_ev1.5,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,0.485971,1.5923,0.0557,4d,1.5
Gardner_statements_zscore__4e_total_interactions_ev1.5,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,0.352638,2.5789,0.005,4e_total_interactions,1.5
Gardner_statements_zscore__4f_matched_interactions_ev1.5,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,0.420024,3.0619,0.0011,4f_matched_interactions,1.5
Gardner_statements_zscore__4g_novelty_ev1.5,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,0.479848,2.3244,0.0101,4g_novelty,1.5
Gardner_statements_zscore__4a_total_sent_ev2.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,0.529274,0.5678,0.2851,4a_total_sent,2.0
Gardner_statements_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Gardner_statements_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Gardner_statements_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Gardner_statements_zscore__4b_consensus_ev2.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,0.602379,0.4173,,4b_consensus,2.0
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,0.54295,0.5536,,4b_consensus_matched_interactions,2.0
Gardner_statements_zscore__4c_all_topics_ev2.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,0.586477,-0.6901,,4c_all_topics,2.0
Gardner_statements_zscore__4d_topic_pca_ev2.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,0.485971,1.5923,0.0557,4d,2.0
Gardner_statements_zscore__4e_total_interactions_ev2.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,0.352638,2.5789,0.005,4e_total_interactions,2.0
Gardner_statements_zscore__4f_matched_interactions_ev2.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,0.420024,3.0619,0.0011,4f_matched_interactions,2.0
Gardner_statements_zscore__4g_novelty_ev2.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,0.479848,2.3244,0.0101,4g_novelty,2.0
Gardner_statements_zscore__4a_total_sent_ev2.5,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,0.529274,0.5678,0.2851,4a_total_sent,2.5
Gardner_statements_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Gardner_statements_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Gardner_statements_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Gardner_statements_zscore__4b_consensus_ev2.5,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,0.602379,0.4173,,4b_consensus,2.5
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,0.54295,0.5536,,4b_consensus_matched_interactions,2.5
Gardner_statements_zscore__4c_all_topics_ev2.5,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,0.586477,-0.6901,,4c_all_topics,2.5
Gardner_statements_zscore__4d_topic_pca_ev2.5,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,0.485971,1.5923,0.0557,4d,2.5
Gardner_statements_zscore__4e_total_interactions_ev2.5,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,0.352638,2.5789,0.005,4e_total_interactions,2.5
Gardner_statements_zscore__4f_matched_interactions_ev2.5,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,0.420024,3.0619,0.0011,4f_matched_interactions,2.5
Gardner_statements_zscore__4g_novelty_ev2.5,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,0.479848,2.3244,0.0101,4g_novelty,2.5
Gardner_statements_zscore__4a_total_sent_ev3.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,0.529274,0.5678,0.2851,4a_total_sent,3.0
Gardner_statements_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_statements_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_statements_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_statements_zscore__4b_consensus_ev3.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,0.602379,0.4173,,4b_consensus,3.0
Gardner_statements_zscore__4b_consensus_matched_interactions_ev3.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,0.54295,0.5536,,4b_consensus_matched_interactions,3.0
Gardner_statements_zscore__4c_all_topics_ev3.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,0.586477,-0.6901,,4c_all_topics,3.0
Gardner_statements_zscore__4d_topic_pca_ev3.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,0.485971,1.5923,0.0557,4d,3.0
Gardner_statements_zscore__4e_total_interactions_ev3.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,0.352638,2.5789,0.005,4e_total_interactions,3.0
Gardner_statements_zscore__4f_matched_interactions_ev3.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,0.420024,3.0619,0.0011,4f_matched_interactions,3.0
Gardner_statements_zscore__4g_novelty_ev3.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,0.479848,2.3244,0.0101,4g_novelty,3.0
