model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_minutes_wordcount__4a_total_sent_ev1.0,151,0.9713,0.9701,175.16,196.28,1062.323,0.0,0.532366,0.4328,0.3326,4a_total_sent,1.0
Sharpe_minutes_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_minutes_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_minutes_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_minutes_wordcount__4b_consensus_ev1.0,151,0.9722,0.971,170.78,191.9,1101.6556,0.0,0.49156,1.7758,0.0379,4b_consensus,1.0
Sharpe_minutes_wordcount__4e_total_interactions_ev1.0,151,0.9837,0.9824,100.19,136.4,1058.3355,0.0,0.41274,2.2189,0.0132,4e_total_interactions,1.0
Sharpe_minutes_wordcount__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_minutes_wordcount__4g_novelty_ev1.0,150,0.9676,0.9663,190.19,211.27,955.9405,0.0,0.512574,1.9822,0.0237,4g_novelty,1.0
Sharpe_minutes_wordcount__4a_total_sent_ev1.5,151,0.9713,0.9701,175.16,196.28,1062.323,0.0,0.532366,0.4328,0.3326,4a_total_sent,1.5
Sharpe_minutes_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_minutes_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_minutes_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_minutes_wordcount__4b_consensus_ev1.5,151,0.9722,0.971,170.78,191.9,1101.6556,0.0,0.49156,1.7758,0.0379,4b_consensus,1.5
Sharpe_minutes_wordcount__4e_total_interactions_ev1.5,151,0.9837,0.9824,100.19,136.4,1058.3355,0.0,0.41274,2.2189,0.0132,4e_total_interactions,1.5
Sharpe_minutes_wordcount__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_minutes_wordcount__4g_novelty_ev1.5,150,0.9676,0.9663,190.19,211.27,955.9405,0.0,0.512574,1.9822,0.0237,4g_novelty,1.5
Sharpe_minutes_wordcount__4a_total_sent_ev2.0,151,0.9713,0.9701,175.16,196.28,1062.323,0.0,0.532366,0.4328,0.3326,4a_total_sent,2.0
