model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_press_conferences_wordcount__4a_total_sent_ev1.0,118,0.9736,0.9722,134.82,154.22,835.9354,0.0,0.490784,,,4a_total_sent,1.0
Sharpe_press_conferences_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_press_conferences_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_press_conferences_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_press_conferences_wordcount__4b_consensus_ev1.0,118,0.9687,0.967,154.97,174.37,865.4357,0.0,0.559987,,,4b_consensus,1.0
Sharpe_press_conferences_wordcount__4e_total_interactions_ev1.0,118,0.9877,0.9865,54.52,87.77,914.4559,0.0,0.421681,,,4e_total_interactions,1.0
Sharpe_press_conferences_wordcount__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_press_conferences_wordcount__4g_novelty_ev1.0,117,0.9688,0.9671,153.67,173.0,830.4886,0.0,0.572277,,,4g_novelty,1.0
Sharpe_press_conferences_wordcount__4a_total_sent_ev1.5,118,0.9736,0.9722,134.82,154.22,835.9354,0.0,0.490784,,,4a_total_sent,1.5
Sharpe_press_conferences_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_press_conferences_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_press_conferences_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_press_conferences_wordcount__4b_consensus_ev1.5,118,0.9687,0.967,154.97,174.37,865.4357,0.0,0.559987,,,4b_consensus,1.5
Sharpe_press_conferences_wordcount__4e_total_interactions_ev1.5,118,0.9877,0.9865,54.52,87.77,914.4559,0.0,0.421681,,,4e_total_interactions,1.5
Sharpe_press_conferences_wordcount__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_press_conferences_wordcount__4g_novelty_ev1.5,117,0.9688,0.9671,153.67,173.0,830.4886,0.0,0.572277,,,4g_novelty,1.5
Sharpe_press_conferences_wordcount__4a_total_sent_ev2.0,118,0.9736,0.9722,134.82,154.22,835.9354,0.0,0.490784,,,4a_total_sent,2.0
Sharpe_press_conferences_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Sharpe_press_conferences_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Sharpe_press_conferences_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Sharpe_press_conferences_wordcount__4b_consensus_ev2.0,118,0.9687,0.967,154.97,174.37,865.4357,0.0,0.559987,,,4b_consensus,2.0
Sharpe_press_conferences_wordcount__4e_total_interactions_ev2.0,118,0.9877,0.9865,54.52,87.77,914.4559,0.0,0.421681,,,4e_total_interactions,2.0
Sharpe_press_conferences_wordcount__4f_matched_interactions_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.0
Sharpe_press_conferences_wordcount__4g_novelty_ev2.0,117,0.9688,0.9671,153.67,173.0,830.4886,0.0,0.572277,,,4g_novelty,2.0
Sharpe_press_conferences_wordcount__4a_total_sent_ev2.5,118,0.9736,0.9722,134.82,154.22,835.9354,0.0,0.490784,,,4a_total_sent,2.5
Sharpe_press_conferences_wordcount__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Sharpe_press_conferences_wordcount__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Sharpe_press_conferences_wordcount__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Sharpe_press_conferences_wordcount__4b_consensus_ev2.5,118,0.9687,0.967,154.97,174.37,865.4357,0.0,0.559987,,,4b_consensus,2.5
Sharpe_press_conferences_wordcount__4e_total_interactions_ev2.5,118,0.9877,0.9865,54.52,87.77,914.4559,0.0,0.421681,,,4e_total_interactions,2.5
Sharpe_press_conferences_wordcount__4f_matched_interactions_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.5
Sharpe_press_conferences_wordcount__4g_novelty_ev2.5,117,0.9688,0.9671,153.67,173.0,830.4886,0.0,0.572277,,,4g_novelty,2.5
Sharpe_press_conferences_wordcount__4a_total_sent_ev3.0,118,0.9736,0.9722,134.82,154.22,835.9354,0.0,0.490784,,,4a_total_sent,3.0
Sharpe_press_conferences_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Sharpe_press_conferences_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Sharpe_press_conferences_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Sharpe_press_conferences_wordcount__4b_consensus_ev3.0,118,0.9687,0.967,154.97,174.37,865.4357,0.0,0.559987,,,4b_consensus,3.0
Sharpe_press_conferences_wordcount__4e_total_interactions_ev3.0,118,0.9877,0.9865,54.52,87.77,914.4559,0.0,0.421681,,,4e_total_interactions,3.0
Sharpe_press_conferences_wordcount__4f_matched_interactions_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,3.0
Sharpe_press_conferences_wordcount__4g_novelty_ev3.0,117,0.9688,0.9671,153.67,173.0,830.4886,0.0,0.572277,,,4g_novelty,3.0
