model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_press_conferences_zscore__4a_total_sent_ev1.0,118,0.9737,0.9723,134.33,153.73,844.3979,0.0,0.527557,,,4a_total_sent,1.0
Sharpe_press_conferences_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_press_conferences_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_press_conferences_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_press_conferences_zscore__4b_consensus_ev1.0,118,0.9738,0.9724,133.99,153.38,1041.2466,0.0,0.496729,,,4b_consensus,1.0
Sharpe_press_conferences_zscore__4e_total_interactions_ev1.0,118,0.981,0.979,106.14,139.39,1031.1385,0.0,0.474615,,,4e_total_interactions,1.0
Sharpe_press_conferences_zscore__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_press_conferences_zscore__4g_novelty_ev1.0,117,0.9684,0.9667,155.08,174.42,862.0028,0.0,0.56685,,,4g_novelty,1.0
Sharpe_press_conferences_zscore__4a_total_sent_ev1.5,118,0.9737,0.9723,134.33,153.73,844.3979,0.0,0.527557,,,4a_total_sent,1.5
Sharpe_press_conferences_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_press_conferences_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_press_conferences_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_press_conferences_zscore__4b_consensus_ev1.5,118,0.9738,0.9724,133.99,153.38,1041.2466,0.0,0.496729,,,4b_consensus,1.5
Sharpe_press_conferences_zscore__4e_total_interactions_ev1.5,118,0.981,0.979,106.14,139.39,1031.1385,0.0,0.474615,,,4e_total_interactions,1.5
Sharpe_press_conferences_zscore__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_press_conferences_zscore__4g_novelty_ev1.5,117,0.9684,0.9667,155.08,174.42,862.0028,0.0,0.56685,,,4g_novelty,1.5
Sharpe_press_conferences_zscore__4a_total_sent_ev2.0,118,0.9737,0.9723,134.33,153.73,844.3979,0.0,0.527557,,,4a_total_sent,2.0
Sharpe_press_conferences_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Sharpe_press_conferences_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Sharpe_press_conferences_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Sharpe_press_conferences_zscore__4b_consensus_ev2.0,118,0.9738,0.9724,133.99,153.38,1041.2466,0.0,0.496729,,,4b_consensus,2.0
Sharpe_press_conferences_zscore__4e_total_interactions_ev2.0,118,0.981,0.979,106.14,139.39,1031.1385,0.0,0.474615,,,4e_total_interactions,2.0
Sharpe_press_conferences_zscore__4f_matched_interactions_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.0
Sharpe_press_conferences_zscore__4g_novelty_ev2.0,117,0.9684,0.9667,155.08,174.42,862.0028,0.0,0.56685,,,4g_novelty,2.0
Sharpe_press_conferences_zscore__4a_total_sent_ev2.5,118,0.9737,0.9723,134.33,153.73,844.3979,0.0,0.527557,,,4a_total_sent,2.5
Sharpe_press_conferences_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Sharpe_press_conferences_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Sharpe_press_conferences_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
