model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_speeches_wordcount__4a_total_sent_ev1.0,151,0.9687,0.9674,188.63,209.75,989.5542,0.0,0.589873,-0.8356,,4a_total_sent,1.0
Sharpe_speeches_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_speeches_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_speeches_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_speeches_wordcount__4b_consensus_ev1.0,151,0.9711,0.9699,176.22,197.34,1194.9788,0.0,0.440264,4.1401,0.0,4b_consensus,1.0
Sharpe_speeches_wordcount__4e_total_interactions_ev1.0,151,0.9858,0.9846,79.35,115.56,1162.1291,0.0,0.323392,3.5526,0.0002,4e_total_interactions,1.0
Sharpe_speeches_wordcount__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_speeches_wordcount__4g_novelty_ev1.0,150,0.9678,0.9665,189.28,210.35,1020.4978,0.0,0.512289,2.0099,0.0222,4g_novelty,1.0
Sharpe_speeches_wordcount__4a_total_sent_ev1.5,151,0.9687,0.9674,188.63,209.75,989.5542,0.0,0.589873,-0.8356,,4a_total_sent,1.5
Sharpe_speeches_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_speeches_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_speeches_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_speeches_wordcount__4b_consensus_ev1.5,151,0.9711,0.9699,176.22,197.34,1194.9788,0.0,0.440264,4.1401,0.0,4b_consensus,1.5
Sharpe_speeches_wordcount__4e_total_interactions_ev1.5,151,0.9858,0.9846,79.35,115.56,1162.1291,0.0,0.323392,3.5526,0.0002,4e_total_interactions,1.5
Sharpe_speeches_wordcount__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_speeches_wordcount__4g_novelty_ev1.5,150,0.9678,0.9665,189.28,210.35,1020.4978,0.0,0.512289,2.0099,0.0222,4g_novelty,1.5
Sharpe_speeches_wordcount__4a_total_sent_ev2.0,151,0.9687,0.9674,188.63,209.75,989.5542,0.0,0.589873,-0.8356,,4a_total_sent,2.0
Sharpe_speeches_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
