model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev1.0,151,0.9738,0.9727,161.39,182.51,1140.2421,0.0,0.48934,1.589,0.056,4a_total_sent,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev1.0,151,0.968,0.9667,191.68,212.8,1073.7163,0.0,0.538374,-0.3411,,4b_consensus,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev1.0,151,0.9823,0.9809,112.68,148.89,957.2849,0.0,0.414103,2.7008,0.0035,4e_total_interactions,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev1.0,150,0.9675,0.9662,190.68,211.75,968.9041,0.0,0.519492,1.8814,0.03,4g_novelty,1.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev1.5,151,0.9738,0.9727,161.39,182.51,1140.2421,0.0,0.48934,1.589,0.056,4a_total_sent,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev1.5,151,0.968,0.9667,191.68,212.8,1073.7163,0.0,0.538374,-0.3411,,4b_consensus,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev1.5,151,0.9823,0.9809,112.68,148.89,957.2849,0.0,0.414103,2.7008,0.0035,4e_total_interactions,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev1.5,150,0.9675,0.9662,190.68,211.75,968.9041,0.0,0.519492,1.8814,0.03,4g_novelty,1.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev2.0,151,0.9738,0.9727,161.39,182.51,1140.2421,0.0,0.48934,1.589,0.056,4a_total_sent,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev2.0,151,0.968,0.9667,191.68,212.8,1073.7163,0.0,0.538374,-0.3411,,4b_consensus,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev2.0,151,0.9823,0.9809,112.68,148.89,957.2849,0.0,0.414103,2.7008,0.0035,4e_total_interactions,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev2.0,150,0.9675,0.9662,190.68,211.75,968.9041,0.0,0.519492,1.8814,0.03,4g_novelty,2.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev2.5,151,0.9738,0.9727,161.39,182.51,1140.2421,0.0,0.48934,1.589,0.056,4a_total_sent,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev2.5,151,0.968,0.9667,191.68,212.8,1073.7163,0.0,0.538374,-0.3411,,4b_consensus,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev2.5,151,0.9823,0.9809,112.68,148.89,957.2849,0.0,0.414103,2.7008,0.0035,4e_total_interactions,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev2.5,150,0.9675,0.9662,190.68,211.75,968.9041,0.0,0.519492,1.8814,0.03,4g_novelty,2.5
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4a_total_sent_ev3.0,151,0.9738,0.9727,161.39,182.51,1140.2421,0.0,0.48934,1.589,0.056,4a_total_sent,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4b_consensus_ev3.0,151,0.968,0.9667,191.68,212.8,1073.7163,0.0,0.538374,-0.3411,,4b_consensus,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4e_total_interactions_ev3.0,151,0.9823,0.9809,112.68,148.89,957.2849,0.0,0.414103,2.7008,0.0035,4e_total_interactions,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4f_matched_interactions_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,3.0
Sharpe_statements_minutes_speeches_press_conferences_wordcount__4g_novelty_ev3.0,150,0.9675,0.9662,190.68,211.75,968.9041,0.0,0.519492,1.8814,0.03,4g_novelty,3.0
