model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev1.0,151,0.9728,0.9716,167.33,188.45,1025.6359,0.0,0.506794,1.546,0.061,4a_total_sent,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev1.0,151,0.9684,0.9671,189.77,210.89,1083.0021,0.0,0.554236,-0.3003,,4b_consensus,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev1.0,151,0.9761,0.9742,157.47,193.68,546.6161,0.0,0.61472,0.6777,,4e_total_interactions,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev1.0,150,0.9675,0.9661,191.01,212.08,1021.1841,0.0,0.526899,1.915,0.0277,4g_novelty,1.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev1.5,151,0.9728,0.9716,167.33,188.45,1025.6359,0.0,0.506794,1.546,0.061,4a_total_sent,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev1.5,151,0.9684,0.9671,189.77,210.89,1083.0021,0.0,0.554236,-0.3003,,4b_consensus,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev1.5,151,0.9761,0.9742,157.47,193.68,546.6161,0.0,0.61472,0.6777,,4e_total_interactions,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev1.5,150,0.9675,0.9661,191.01,212.08,1021.1841,0.0,0.526899,1.915,0.0277,4g_novelty,1.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev2.0,151,0.9728,0.9716,167.33,188.45,1025.6359,0.0,0.506794,1.546,0.061,4a_total_sent,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev2.0,151,0.9684,0.9671,189.77,210.89,1083.0021,0.0,0.554236,-0.3003,,4b_consensus,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev2.0,151,0.9761,0.9742,157.47,193.68,546.6161,0.0,0.61472,0.6777,,4e_total_interactions,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev2.0,150,0.9675,0.9661,191.01,212.08,1021.1841,0.0,0.526899,1.915,0.0277,4g_novelty,2.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev2.5,151,0.9728,0.9716,167.33,188.45,1025.6359,0.0,0.506794,1.546,0.061,4a_total_sent,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev2.5,151,0.9684,0.9671,189.77,210.89,1083.0021,0.0,0.554236,-0.3003,,4b_consensus,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev2.5,151,0.9761,0.9742,157.47,193.68,546.6161,0.0,0.61472,0.6777,,4e_total_interactions,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev2.5,150,0.9675,0.9661,191.01,212.08,1021.1841,0.0,0.526899,1.915,0.0277,4g_novelty,2.5
Sharpe_statements_minutes_speeches_press_conferences_zscore__4a_total_sent_ev3.0,151,0.9728,0.9716,167.33,188.45,1025.6359,0.0,0.506794,1.546,0.061,4a_total_sent,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4b_consensus_ev3.0,151,0.9684,0.9671,189.77,210.89,1083.0021,0.0,0.554236,-0.3003,,4b_consensus,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4e_total_interactions_ev3.0,151,0.9761,0.9742,157.47,193.68,546.6161,0.0,0.61472,0.6777,,4e_total_interactions,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4f_matched_interactions_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,3.0
Sharpe_statements_minutes_speeches_press_conferences_zscore__4g_novelty_ev3.0,150,0.9675,0.9661,191.01,212.08,1021.1841,0.0,0.526899,1.915,0.0277,4g_novelty,3.0
