model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_statements_wordcount__4a_total_sent_ev1.0,151,0.9709,0.9697,177.22,198.34,1094.4877,0.0,0.48634,1.3815,0.0836,4a_total_sent,1.0
Sharpe_statements_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_statements_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_statements_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_statements_wordcount__4b_consensus_ev1.0,151,0.9681,0.9667,191.52,212.64,1075.0593,0.0,0.535707,-0.2862,,4b_consensus,1.0
Sharpe_statements_wordcount__4e_total_interactions_ev1.0,151,0.977,0.9752,151.88,188.09,847.2929,0.0,0.490713,1.432,0.0761,4e_total_interactions,1.0
Sharpe_statements_wordcount__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_statements_wordcount__4g_novelty_ev1.0,150,0.968,0.9666,188.6,209.68,958.5049,0.0,0.512166,1.8581,0.0316,4g_novelty,1.0
Sharpe_statements_wordcount__4a_total_sent_ev1.5,151,0.9709,0.9697,177.22,198.34,1094.4877,0.0,0.48634,1.3815,0.0836,4a_total_sent,1.5
Sharpe_statements_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_statements_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_statements_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_statements_wordcount__4b_consensus_ev1.5,151,0.9681,0.9667,191.52,212.64,1075.0593,0.0,0.535707,-0.2862,,4b_consensus,1.5
Sharpe_statements_wordcount__4e_total_interactions_ev1.5,151,0.977,0.9752,151.88,188.09,847.2929,0.0,0.490713,1.432,0.0761,4e_total_interactions,1.5
Sharpe_statements_wordcount__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
