model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Sharpe_statements_zscore__4a_total_sent_ev1.0,151,0.972,0.9709,171.46,192.58,1242.4985,0.0,0.488513,1.2274,0.1098,4a_total_sent,1.0
Sharpe_statements_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.0
Sharpe_statements_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.0
Sharpe_statements_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.0
Sharpe_statements_zscore__4b_consensus_ev1.0,151,0.9682,0.9669,190.78,211.9,1079.2736,0.0,0.536018,-0.0109,,4b_consensus,1.0
Sharpe_statements_zscore__4e_total_interactions_ev1.0,151,0.9789,0.9773,138.55,174.76,1069.393,0.0,0.520155,0.8226,0.2054,4e_total_interactions,1.0
Sharpe_statements_zscore__4f_matched_interactions_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.0
Sharpe_statements_zscore__4g_novelty_ev1.0,150,0.9675,0.9662,190.64,211.72,992.9432,0.0,0.515587,1.9362,0.0264,4g_novelty,1.0
Sharpe_statements_zscore__4a_total_sent_ev1.5,151,0.972,0.9709,171.46,192.58,1242.4985,0.0,0.488513,1.2274,0.1098,4a_total_sent,1.5
Sharpe_statements_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,1.5
Sharpe_statements_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,1.5
Sharpe_statements_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,1.5
Sharpe_statements_zscore__4b_consensus_ev1.5,151,0.9682,0.9669,190.78,211.9,1079.2736,0.0,0.536018,-0.0109,,4b_consensus,1.5
Sharpe_statements_zscore__4e_total_interactions_ev1.5,151,0.9789,0.9773,138.55,174.76,1069.393,0.0,0.520155,0.8226,0.2054,4e_total_interactions,1.5
Sharpe_statements_zscore__4f_matched_interactions_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,1.5
Sharpe_statements_zscore__4g_novelty_ev1.5,150,0.9675,0.9662,190.64,211.72,992.9432,0.0,0.515587,1.9362,0.0264,4g_novelty,1.5
Sharpe_statements_zscore__4a_total_sent_ev2.0,151,0.972,0.9709,171.46,192.58,1242.4985,0.0,0.488513,1.2274,0.1098,4a_total_sent,2.0
Sharpe_statements_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.0
Sharpe_statements_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.0
Sharpe_statements_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.0
Sharpe_statements_zscore__4b_consensus_ev2.0,151,0.9682,0.9669,190.78,211.9,1079.2736,0.0,0.536018,-0.0109,,4b_consensus,2.0
Sharpe_statements_zscore__4e_total_interactions_ev2.0,151,0.9789,0.9773,138.55,174.76,1069.3931,0.0,0.520155,0.8226,0.2054,4e_total_interactions,2.0
Sharpe_statements_zscore__4f_matched_interactions_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.0
Sharpe_statements_zscore__4g_novelty_ev2.0,150,0.9675,0.9662,190.64,211.72,992.9432,0.0,0.515587,1.9362,0.0264,4g_novelty,2.0
Sharpe_statements_zscore__4a_total_sent_ev2.5,151,0.972,0.9709,171.46,192.58,1242.4985,0.0,0.488513,1.2274,0.1098,4a_total_sent,2.5
Sharpe_statements_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,2.5
Sharpe_statements_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,2.5
Sharpe_statements_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,2.5
Sharpe_statements_zscore__4b_consensus_ev2.5,151,0.9682,0.9669,190.78,211.9,1079.2736,0.0,0.536018,-0.0109,,4b_consensus,2.5
Sharpe_statements_zscore__4e_total_interactions_ev2.5,151,0.9789,0.9773,138.55,174.76,1069.3931,0.0,0.520155,0.8226,0.2054,4e_total_interactions,2.5
Sharpe_statements_zscore__4f_matched_interactions_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,2.5
Sharpe_statements_zscore__4g_novelty_ev2.5,150,0.9675,0.9662,190.64,211.72,992.9432,0.0,0.515587,1.9362,0.0264,4g_novelty,2.5
Sharpe_statements_zscore__4a_total_sent_ev3.0,151,0.972,0.9709,171.46,192.58,1242.4985,0.0,0.488513,1.2274,0.1098,4a_total_sent,3.0
Sharpe_statements_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Sharpe_statements_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Sharpe_statements_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Sharpe_statements_zscore__4b_consensus_ev3.0,151,0.9682,0.9669,190.78,211.9,1079.2736,0.0,0.536018,-0.0109,,4b_consensus,3.0
Sharpe_statements_zscore__4e_total_interactions_ev3.0,151,0.9789,0.9773,138.55,174.76,1069.393,0.0,0.520155,0.8226,0.2054,4e_total_interactions,3.0
Sharpe_statements_zscore__4f_matched_interactions_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4f_matched_interactions,3.0
Sharpe_statements_zscore__4g_novelty_ev3.0,150,0.9675,0.9662,190.64,211.72,992.9432,0.0,0.515587,1.9362,0.0264,4g_novelty,3.0
