model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,lookahead
5a_uncertainty_elevated_sentences,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998,
5a_uncertainty_flag_gt_median,102,0.9779,0.9765,99.74,118.11,651.0194,0.0,0.456773,0.432802,0.268356,0.234499,
5b_skew_up,196,0.9731,0.9723,223.83,246.78,1339.9425,0.0,0.507088,0.409418,0.462226,0.223306,
5b_skew_down,206,0.9713,0.9704,245.69,268.99,1376.7234,0.0,0.546382,0.437659,0.443342,0.290443,
5c_interpretive_only,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998,
5c_interpretive_descriptive,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998,
5d_odyssean_all,63,0.9768,0.9744,69.7,84.7,507.6844,0.0,0.618221,0.686061,0.53685,0.319106,
5d_delphic_all,54,0.9892,0.9878,8.2,22.12,766.5959,0.0,0.238683,0.251102,0.151942,0.125685,
5d_odyssean_minutes,104,0.9739,0.9723,125.12,143.63,835.2844,0.0,0.505682,0.428903,0.29604,0.129353,
5d_delphic_minutes,71,0.9693,0.9664,80.35,96.19,293.2224,0.0,0.554417,0.557643,0.666497,0.825283,
5e_up_LOOKAHEAD,101,0.9781,0.9767,96.72,115.03,542.0208,0.0,0.417902,0.382921,0.427702,0.466159,True
5e_down_LOOKAHEAD,88,0.9802,0.9788,81.18,98.52,796.6679,0.0,0.489996,0.505314,0.356739,0.222637,True
