model,arch,test,n_obs,n_oos,rmse,base_rmse,imp_pct,dm_t,dm_p,sig,rmse_60,rmse_80
4a_total_sent (reference),joint_pca,DM,151,76,0.2884,0.2826,-2.1,-0.7285,,,0.3207,0.2781
4b2_cons_total,joint_pca,DM,151,76,0.2819,0.2826,0.2,0.1093,0.4565,,0.3121,0.2746
4b2_cons_topics,joint_pca,DM,151,76,0.2794,0.2826,1.1,0.4745,0.3176,,0.3086,0.2686
4b2_cons_all,joint_pca,DM,151,76,0.2755,0.2826,2.5,1.0916,0.1375,,0.3045,0.2622
4b2_signed_plus_cons,joint_pca,DM,151,76,0.2765,0.2826,2.2,0.9541,0.17,,0.3063,0.262
4a_total_sent (reference),nested,CW,151,76,0.2739,0.2826,3.1,3.3149,0.0005,***,0.3037,0.2523
4b2_cons_total,nested,CW,151,76,0.278,0.2826,1.6,2.9201,0.0017,***,0.3084,0.2614
4b2_cons_topics,nested,CW,151,76,0.2762,0.2826,2.2,2.0039,0.0225,**,0.3055,0.29
4b2_cons_all,nested,CW,151,76,0.2669,0.2826,5.5,2.873,0.002,***,0.2949,0.2686
4b2_signed_plus_cons,nested,CW,151,76,0.2758,0.2826,2.4,2.2083,0.0136,**,0.3057,0.2595
