model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
baseline_favar,215,0.9676,0.9669,287.32,307.55,1358.1498,0.0,0.625785,0.672141,0.469296,0.257847
4a_total_sent_ev1.0,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
4b_sent_sd_ev1.0,207,0.9656,0.9646,284.13,307.46,1085.0522,0.0,0.647069,0.685588,0.472233,0.28926
4b_sent_var_ev1.0,207,0.9654,0.9644,285.53,308.86,1091.6354,0.0,0.649705,0.690271,0.475986,0.278675
4b_sd_var_joint_ev1.0,207,0.967,0.9658,278.03,304.69,999.2504,0.0,0.627863,0.658889,0.437728,0.27165
4b_sd_macro_interactions_ev1.0,207,0.9719,0.9705,250.61,287.27,914.0457,0.0,0.60031,0.607444,0.658927,0.234404
4b_topic_sd_matched_interactions_ev1.0,207,0.9708,0.9691,260.6,300.59,799.2859,0.0,0.593921,0.574869,0.492269,0.353462
4c_all_topics_ev1.0,207,0.9693,0.9676,270.81,310.8,599.7773,0.0,0.616772,0.645146,0.412238,0.310887
4d_topic_pca_ev1.0,207,0.9748,0.9735,228.21,264.87,829.2569,0.0,0.507848,0.396978,0.392474,0.288398
4e_total_interactions_ev1.0,207,0.9735,0.972,240.51,280.5,789.4964,0.0,0.580613,0.54137,0.468639,0.251394
4f_matched_interactions_ev1.0,207,0.9673,0.9654,284.05,324.05,570.4232,0.0,0.768832,0.806262,0.5224,0.208534
4g_novelty_ev1.0,206,0.9652,0.9631,295.46,338.72,523.0898,0.0,0.661075,0.704698,0.49047,0.278432
4a_total_sent_ev1.5,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
4b_sent_sd_ev1.5,207,0.9656,0.9646,284.13,307.46,1085.0522,0.0,0.647069,0.685588,0.472233,0.28926
4b_sent_var_ev1.5,207,0.9654,0.9644,285.53,308.86,1091.6354,0.0,0.649705,0.690271,0.475986,0.278675
4b_sd_var_joint_ev1.5,207,0.967,0.9658,278.03,304.69,999.2504,0.0,0.627863,0.658889,0.437728,0.27165
4b_sd_macro_interactions_ev1.5,207,0.9719,0.9705,250.61,287.27,914.0457,0.0,0.60031,0.607444,0.658927,0.234404
4b_topic_sd_matched_interactions_ev1.5,207,0.9708,0.9691,260.6,300.59,799.2859,0.0,0.593921,0.574869,0.492269,0.353462
4c_all_topics_ev1.5,207,0.9693,0.9676,270.81,310.8,599.7773,0.0,0.616772,0.645146,0.412238,0.310887
4d_topic_pca_ev1.5,207,0.9748,0.9735,228.21,264.87,829.2569,0.0,0.507848,0.396978,0.392474,0.288398
4e_total_interactions_ev1.5,207,0.9735,0.972,240.51,280.5,789.4964,0.0,0.580613,0.54137,0.468639,0.251394
4f_matched_interactions_ev1.5,207,0.9673,0.9654,284.05,324.05,570.4233,0.0,0.768832,0.806262,0.5224,0.208534
4g_novelty_ev1.5,206,0.9652,0.9631,295.46,338.72,523.0898,0.0,0.661075,0.704698,0.49047,0.278432
4a_total_sent_ev2.0,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
4b_sent_sd_ev2.0,207,0.9656,0.9646,284.13,307.46,1085.0522,0.0,0.647069,0.685588,0.472233,0.28926
4b_sent_var_ev2.0,207,0.9654,0.9644,285.53,308.86,1091.6354,0.0,0.649705,0.690271,0.475986,0.278675
4b_sd_var_joint_ev2.0,207,0.967,0.9658,278.03,304.69,999.2504,0.0,0.627863,0.658889,0.437728,0.27165
4b_sd_macro_interactions_ev2.0,207,0.9719,0.9705,250.61,287.27,914.0457,0.0,0.60031,0.607444,0.658927,0.234404
4b_topic_sd_matched_interactions_ev2.0,207,0.9708,0.9691,260.6,300.59,799.2859,0.0,0.593921,0.574869,0.492269,0.353462
4c_all_topics_ev2.0,207,0.9693,0.9676,270.81,310.8,599.7773,0.0,0.616772,0.645146,0.412238,0.310887
4d_topic_pca_ev2.0,207,0.9748,0.9735,228.21,264.87,829.2569,0.0,0.507848,0.396978,0.392474,0.288398
4e_total_interactions_ev2.0,207,0.9735,0.972,240.51,280.5,789.4964,0.0,0.580613,0.54137,0.468639,0.251394
4f_matched_interactions_ev2.0,207,0.9673,0.9654,284.05,324.05,570.4232,0.0,0.768832,0.806262,0.5224,0.208534
4g_novelty_ev2.0,206,0.9652,0.9631,295.46,338.72,523.0898,0.0,0.661075,0.704698,0.49047,0.278432
4a_total_sent_ev2.5,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
4b_sent_sd_ev2.5,207,0.9656,0.9646,284.13,307.46,1085.0522,0.0,0.647069,0.685588,0.472233,0.28926
