model,h,n,n_pred,n_jpc,model_rmse,base_rmse,base_type,rmse_naive,rmse_mkt,rmse_favar,improv_pct,dm_t,dm_p,sig
4h_llm_all_sent,1,151,76,8,0.2428,0.2826,favar,0.3344,0.3524,0.2826,14.06,2.4189,0.0078,***
4h_llm_all_sent,5,147,74,8,0.6175,0.7454,favar,1.3296,1.421,0.7454,17.16,1.2997,0.0968,*
4h_llm_all_sent,10,142,71,8,1.3834,1.1395,favar,2.3707,2.4762,1.1395,-21.4,-1.1252,,
4h_llm_all_sent,15,137,69,8,1.77,1.8885,favar,3.0755,3.2248,1.8885,6.28,1.0445,0.1481,
4h_llm_all_sent,20,132,66,7,2.4978,2.2936,favar,3.4843,3.6948,2.2936,-8.9,-1.1503,,
4h_llm_all_sent,25,127,64,8,2.3559,2.8004,favar,3.6424,3.8438,2.8004,15.87,1.7135,0.0433,**
4h_llm_all_sent,30,122,61,8,2.3054,2.6892,favar,3.636,3.7761,2.6892,14.27,2.0539,0.02,**
4h_llm_topics,1,151,76,8,0.2444,0.2826,favar,0.3344,0.3524,0.2826,13.51,2.3345,0.0098,***
4h_llm_topics,5,147,74,8,0.6211,0.7454,favar,1.3296,1.421,0.7454,16.68,1.2711,0.1018,
4h_llm_topics,10,142,71,8,1.3917,1.1395,favar,2.3707,2.4762,1.1395,-22.13,-1.1399,,
4h_llm_topics,15,137,69,8,1.7428,1.8885,favar,3.0755,3.2248,1.8885,7.72,1.2308,0.1092,
4h_llm_topics,20,132,66,8,2.1473,2.2936,favar,3.4843,3.6948,2.2936,6.38,1.5465,0.061,*
4h_llm_topics,25,127,64,8,2.3435,2.8004,favar,3.6424,3.8438,2.8004,16.31,1.687,0.0458,**
4h_llm_topics,30,122,61,8,2.2996,2.6892,favar,3.636,3.7761,2.6892,14.49,2.0226,0.0216,**
