method,split,level_exp_oos,level_cw_naive,delta_exp_oos,delta_cw_naive
Baseline,60,0.5813,2.2447,0.3136,2.3382
Baseline,70,0.5755,2.2447,0.313,2.3382
Baseline,80,0.5299,2.2447,0.2645,2.3382
Baseline,90,0.4243,2.2447,0.1681,2.3382
LLM,60,0.5631,2.881,0.3207,2.1774
LLM,70,0.6262,2.881,0.3257,2.1774
LLM,80,0.2548,2.881,0.2781,2.1774
LLM,90,0.2276,2.881,0.2066,2.1774
Gardner,60,0.5991,2.7509,0.3233,2.12
Gardner,70,0.6592,2.7509,0.339,2.12
Gardner,80,0.4025,2.7509,0.3,2.12
Gardner,90,0.3542,2.7509,0.2462,2.12
Sharpe,60,0.5276,2.6856,0.4211,1.9626
Sharpe,70,0.5649,2.6856,0.4519,1.9626
Sharpe,80,0.372,2.6856,0.3069,1.9626
Sharpe,90,0.2126,2.6856,0.2339,1.9626
