method,split,expanding_oos,fixed_oos
Baseline,60,,2.6110215954798175
Baseline,70,,1.1587424106868294
Baseline,80,,0.8923603651655522
Baseline,90,,0.7017316016532924
LLM,60,0.563119,0.4914710529223624
LLM,70,0.62624,0.6268791808442992
LLM,80,0.25479,0.34882006015773576
LLM,90,0.227565,0.272911684178592
Gardner,60,0.599126,0.573481129179192
Gardner,70,0.659201,0.7092685493855908
Gardner,80,0.402541,0.4270312225222598
Gardner,90,0.354239,0.43347228174162056
Sharpe,60,0.527625,0.7901866067578613
Sharpe,70,0.564906,0.7098299528698597
Sharpe,80,0.371997,0.6005932127415385
Sharpe,90,0.212568,0.30245496098491126
