series,adf_stat,adf_pvalue,adf_stationary,kpss_stat,kpss_pvalue,kpss_stationary,conclusion
sent_monetary_policy_minutes,-2.9461,0.0402,True,0.0868,0.1,True,conflicting
sent_monetary_policy_sd_minutes,-6.8124,0.0,True,0.17,0.1,True,conflicting
sent_inflation_minutes,-3.7133,0.0039,True,0.2232,0.1,True,conflicting
sent_inflation_sd_minutes,-6.6289,0.0,True,0.3309,0.1,True,conflicting
sent_labor_market_minutes,-2.2498,0.1887,False,0.3124,0.1,True,conflicting
sent_labor_market_sd_minutes,-6.1185,0.0,True,0.4439,0.0582,True,conflicting
sent_economic_activity_minutes,-4.3412,0.0004,True,0.1107,0.1,True,conflicting
sent_economic_activity_sd_minutes,-10.2438,0.0,True,0.5682,0.0263,False,conflicting
sent_financial_conditions_minutes,-3.6545,0.0048,True,0.2688,0.1,True,conflicting
sent_financial_conditions_sd_minutes,-8.5341,0.0,True,0.2159,0.1,True,conflicting
sent_macro_minutes,-4.3312,0.0004,True,0.2726,0.1,True,conflicting
sent_macro_sd_minutes,-7.1055,0.0,True,0.0537,0.1,True,conflicting
sent_total_minutes,-4.174,0.0007,True,0.0873,0.1,True,conflicting
sent_sd_minutes,-6.5827,0.0,True,0.3378,0.1,True,conflicting
sent_var_minutes,-6.246,0.0,True,0.329,0.1,True,conflicting
sent_monetary_policy_press_conference_prepared,-2.2326,0.1946,False,0.5347,0.0338,False,conflicting
sent_monetary_policy_sd_press_conference_prepared,-2.0444,0.2675,False,0.546,0.0313,False,conflicting
sent_inflation_press_conference_prepared,-1.7577,0.4017,False,0.9769,0.01,False,conflicting
sent_inflation_sd_press_conference_prepared,-5.0018,0.0,True,0.1255,0.1,True,conflicting
sent_labor_market_press_conference_prepared,-4.0226,0.0013,True,0.3083,0.1,True,conflicting
sent_labor_market_sd_press_conference_prepared,-2.2895,0.1754,False,0.4152,0.0706,True,conflicting
sent_economic_activity_press_conference_prepared,-6.4112,0.0,True,0.141,0.1,True,conflicting
sent_economic_activity_sd_press_conference_prepared,-6.4542,0.0,True,0.4449,0.0578,True,conflicting
sent_financial_conditions_press_conference_prepared,-3.1146,0.0255,True,0.2972,0.1,True,conflicting
sent_financial_conditions_sd_press_conference_prepared,-6.7348,0.0,True,0.2379,0.1,True,conflicting
sent_macro_press_conference_prepared,-6.8208,0.0,True,0.1853,0.1,True,conflicting
sent_macro_sd_press_conference_prepared,-8.1657,0.0,True,0.5687,0.0262,False,conflicting
