model,arch,test,n_obs,n_oos_exp,rmse_exp,base_rmse,imp_exp,dm_t_exp,dm_p_exp,sig_exp,rmse_oos60,dm_t_oos60,dm_p_oos60,sig_oos60,rmse_oos70,dm_t_oos70,dm_p_oos70,sig_oos70,rmse_oos80,dm_t_oos80,dm_p_oos80,sig_oos80,rmse_oos90,dm_t_oos90,dm_p_oos90,sig_oos90
LLM_base,joint_pca,DM,151,76,0.2826,0.2826,0.0,,,,0.3136,,,,0.313,,,,0.2645,,,,0.1681,,,
LLM_total,joint_pca,DM,151,76,0.2884,0.2826,-2.1,-0.7285,,,0.3207,-0.7971,,,0.3257,-1.1307,,,0.2781,-1.1742,,,0.2066,-2.276,,
LLM_total_inter,joint_pca,DM,151,76,0.3078,0.2826,-8.9,-1.2674,,,0.3408,-1.2266,,,0.3548,-1.5198,,,0.2755,-0.4226,,,0.1957,-1.0646,,
LLM_topics,joint_pca,DM,151,76,0.2444,0.2826,13.5,2.3345,0.0098,***,0.2683,2.6101,0.0045,***,0.2598,2.3456,0.0095,***,0.2113,1.4313,0.0762,*,0.1315,0.963,0.1678,
LLM_topics_matched,joint_pca,DM,151,76,0.2759,0.2826,2.3,0.2409,0.4048,,0.305,0.2775,0.3907,,0.3176,-0.1168,,,0.2761,-0.1705,,,0.1887,-0.4465,,
LLM_topics_inter,joint_pca,DM,151,76,0.3351,0.2826,-18.6,-1.204,,,0.3722,-1.2072,,,0.3922,-1.3093,,,0.3312,-0.854,,,0.2003,-0.7543,,
LLM_all_sent,joint_pca,DM,151,76,0.2428,0.2826,14.1,2.4189,0.0078,***,0.2668,2.6859,0.0036,***,0.2574,2.4431,0.0073,***,0.2096,1.4903,0.0681,*,0.1296,0.985,0.1623,
LLM_all_sent_inter,joint_pca,DM,151,76,0.3227,0.2826,-14.2,-0.9136,,,0.3575,-0.8912,,,0.3727,-0.9632,,,0.3543,-0.9441,,,0.2066,-0.8772,,
LLM_nest_total,nested,CW,151,76,0.2739,0.2826,3.1,3.3149,0.0005,***,0.3037,3.6014,0.0002,***,0.3022,3.2151,0.0007,***,0.2523,2.3437,0.0095,***,0.1522,1.4419,0.0747,*
LLM_nest_topics,nested,CW,151,76,0.2545,0.2826,9.9,3.245,0.0006,***,0.2821,3.324,0.0004,***,0.2802,3.141,0.0008,***,0.2267,2.2598,0.0119,**,0.1449,1.6945,0.0451,**
