wedge,model,n_oos,rmse_exp,base_rmse,imp_pct,cw_t,cw_p,sig,rmse_oos60,rmse_oos70,rmse_oos80,rmse_oos90
UNEMP,FAVAR_base,39,0.2464,0.2464,0.0,,,,0.2378,0.2729,0.331,0.3922
UNEMP,wedge_UNEMP_add,39,0.2872,0.2464,-16.57,-0.0963,0.5384,,0.2891,0.3325,0.4045,0.5134
UNEMP,wedge_UNEMP_matched,39,0.2687,0.2464,-9.05,-1.2148,0.8878,,0.2647,0.3042,0.3695,0.4536
UNEMP,wedge_UNEMP_full,39,0.36,0.2464,-46.13,-0.2952,0.6161,,0.3743,0.43,0.5227,0.6967
RGDP,FAVAR_base,39,0.2464,0.2464,0.0,,,,0.2378,0.2729,0.331,0.3922
RGDP,wedge_RGDP_add,39,0.2696,0.2464,-9.4,-1.4673,0.9289,,0.2617,0.3007,0.3651,0.4469
RGDP,wedge_RGDP_matched,39,0.2787,0.2464,-13.1,-1.374,0.9153,,0.2729,0.3137,0.3811,0.4729
RGDP,wedge_RGDP_full,39,0.2801,0.2464,-13.66,-1.3156,0.9058,,0.277,0.3185,0.3872,0.4812
PCPI,FAVAR_base,39,0.2464,0.2464,0.0,,,,0.2378,0.2729,0.331,0.3922
PCPI,wedge_PCPI_add,39,0.2438,0.2464,1.07,1.3058,0.0958,*,0.2437,0.279,0.3387,0.3977
PCPI,wedge_PCPI_matched,39,0.2399,0.2464,2.64,1.3878,0.0826,*,0.2392,0.274,0.3324,0.3892
PCPI,wedge_PCPI_full,39,0.2719,0.2464,-10.34,1.4226,0.0774,*,0.2727,0.3127,0.3797,0.4774
