Unnamed: 0,meeting_date,minutes_date,blackout_date,blackout_lag_days
,1999-02-03,1999-02-24,,
,1999-03-30,1999-04-20,,
,1999-05-18,1999-06-08,,
,1999-06-30,1999-07-21,,
,1999-08-24,1999-09-14,,
,1999-10-05,1999-10-26,,
,1999-11-16,1999-12-07,,
,1999-12-21,2000-01-11,,
,2000-02-02,2000-02-23,,
,2000-03-21,2000-04-11,,
,2000-05-16,2000-06-06,,
,2000-06-28,2000-07-19,,
,2000-08-22,2000-09-12,,
,2000-10-03,2000-10-24,,
,2000-11-15,2000-12-06,,
,2000-12-19,2001-01-09,,
,2001-01-31,2001-02-21,,
,2001-03-20,2001-04-10,,
,2001-05-15,2001-06-05,,
,2001-06-27,2001-07-18,,
,2001-08-21,2001-09-11,,
,2001-10-02,2001-10-23,,
,2001-11-06,2001-11-27,,
,2001-12-11,2002-01-01,,
,2002-01-30,2002-02-20,,
,2002-03-19,2002-04-09,,
,2002-05-07,2002-05-28,,
,2002-06-26,2002-07-17,,
,2002-08-13,2002-09-03,,
,2002-09-24,2002-10-15,,
,2002-11-06,2002-11-27,,
,2002-12-10,2002-12-31,,
,2003-01-29,2003-02-19,,
,2003-03-18,2003-04-08,,
,2003-05-06,2003-05-27,,
,2003-06-25,2003-07-16,,
,2003-08-12,2003-09-02,,
,2003-09-16,2003-10-07,,
,2003-10-28,2003-11-18,,
,2003-12-09,2003-12-30,,
,2004-01-28,2004-02-18,,
,2004-03-16,2004-04-06,,
,2004-05-04,2004-05-25,,
,2004-06-30,2004-07-21,,
,2004-08-10,2004-08-31,,
,2004-09-21,2004-10-12,,
,2004-11-10,2004-12-01,,
,2004-12-14,2005-01-04,,
,2005-02-02,2005-02-23,,
,2005-03-22,2005-04-12,,
,2005-05-03,2005-05-24,,
,2005-06-30,2005-07-21,,
,2005-08-09,2005-08-30,,
,2005-09-20,2005-10-11,,
,2005-11-01,2005-11-22,,
,2005-12-13,2006-01-03,,
,2006-01-31,2006-02-21,,
,2006-03-28,2006-04-18,,
,2006-05-10,2006-05-31,,
,2006-06-29,2006-07-20,,
,2006-08-08,2006-08-29,,
,2006-09-20,2006-10-11,,
,2006-10-25,2006-11-15,,
,2006-12-12,2007-01-02,,
,2007-01-31,2007-02-21,,
,2007-03-21,2007-04-11,,
,2007-05-09,2007-05-30,,
,2007-06-28,2007-07-19,,
,2007-08-07,2007-08-28,,
,2007-09-18,2007-10-09,,
,2007-10-31,2007-11-21,,
,2007-12-11,2008-01-01,,
,2008-01-30,2008-02-20,,
,2008-03-18,2008-04-08,,
,2008-04-30,2008-05-21,,
,2008-06-25,2008-07-16,,
,2008-08-05,2008-08-26,,
,2008-09-16,2008-10-07,,
,2008-10-29,2008-11-19,,
,2008-12-16,2009-01-06,,
,2009-01-28,2009-02-18,,
,2009-03-18,2009-04-08,,
,2009-04-29,2009-05-20,,
,2009-06-24,2009-07-15,,
,2009-08-12,2009-09-02,,
,2009-09-23,2009-10-14,,
,2009-11-04,2009-11-25,,
,2009-12-16,2010-01-06,,
,2010-01-27,2010-02-17,,
,2010-03-16,2010-04-06,,
,2010-04-28,2010-05-19,,
,2010-06-23,2010-07-14,,
,2010-08-10,2010-08-31,,
,2010-09-21,2010-10-12,,
,2010-11-03,2010-11-24,,
,2010-12-14,2011-01-04,,
0.0,2011-01-26,2011-02-16,2011-01-08,18
1.0,2011-03-15,2011-04-05,2011-03-04,11
2.0,2011-04-27,2011-05-18,2011-04-14,13
3.0,2011-06-22,2011-07-13,2011-06-14,8
4.0,2011-08-09,2011-08-30,2011-06-29,41
5.0,2011-09-21,2011-10-12,2011-09-15,6
6.0,2011-11-02,2011-11-23,2011-10-22,11
7.0,2011-12-13,2012-01-03,2011-11-29,14
8.0,2012-01-25,2012-02-15,2012-01-16,9
9.0,2012-03-13,2012-04-03,2012-03-01,12
10.0,2012-04-25,2012-05-16,2012-04-13,12
11.0,2012-06-20,2012-07-11,2012-06-12,8
12.0,2012-08-01,2012-08-22,2012-07-24,8
13.0,2012-09-13,2012-10-04,2012-08-31,13
14.0,2012-10-24,2012-11-14,2012-10-14,10
15.0,2012-12-12,2013-01-02,2012-12-04,8
16.0,2013-01-30,2013-02-20,2013-01-04,26
17.0,2013-03-20,2013-04-10,2013-03-08,12
18.0,2013-05-01,2013-05-22,2013-04-19,12
19.0,2013-06-19,2013-07-10,2013-06-06,13
20.0,2013-07-31,2013-08-21,2013-07-17,14
21.0,2013-09-18,2013-10-09,2013-07-17,63
22.0,2013-10-30,2013-11-20,2013-10-18,12
23.0,2013-12-18,2014-01-08,2013-12-16,2
24.0,2014-01-29,2014-02-19,2014-01-03,26
25.0,2014-03-19,2014-04-09,2014-03-05,14
26.0,2014-04-30,2014-05-21,2014-04-15,15
27.0,2014-06-18,2014-07-09,2014-06-09,9
28.0,2014-07-30,2014-08-20,2014-07-10,20
29.0,2014-09-17,2014-10-08,2014-09-04,13
30.0,2014-10-29,2014-11-19,2014-10-20,9
31.0,2014-12-17,2015-01-07,2014-12-03,14
32.0,2015-01-28,2015-02-18,2015-01-20,8
33.0,2015-03-18,2015-04-08,2015-03-03,15
34.0,2015-04-29,2015-05-20,2015-04-08,21
35.0,2015-06-17,2015-07-08,2015-06-02,15
36.0,2015-07-29,2015-08-19,2015-07-10,19
37.0,2015-09-17,2015-10-08,2015-08-29,19
38.0,2015-10-28,2015-11-18,2015-10-20,8
39.0,2015-12-16,2016-01-06,2015-12-03,13
40.0,2016-01-27,2016-02-17,2016-01-03,24
41.0,2016-03-16,2016-04-06,2016-03-07,9
42.0,2016-04-27,2016-05-18,2016-04-14,13
43.0,2016-06-15,2016-07-06,2016-06-06,9
44.0,2016-07-27,2016-08-17,2016-07-12,15
45.0,2016-09-21,2016-10-12,2016-09-12,9
46.0,2016-11-02,2016-11-23,2016-10-24,9
47.0,2016-12-14,2017-01-04,2016-12-02,12
48.0,2017-02-01,2017-02-22,2017-01-19,13
49.0,2017-03-15,2017-04-05,2017-03-03,12
50.0,2017-05-03,2017-05-24,2017-04-28,5
51.0,2017-06-14,2017-07-05,2017-06-01,13
52.0,2017-07-26,2017-08-16,2017-07-13,13
53.0,2017-09-20,2017-10-11,2017-09-05,15
54.0,2017-11-01,2017-11-22,2017-10-20,12
55.0,2017-12-13,2018-01-03,2017-11-30,13
56.0,2018-01-31,2018-02-21,2018-01-19,12
57.0,2018-03-21,2018-04-11,2018-03-06,15
58.0,2018-05-02,2018-05-23,2018-04-19,13
59.0,2018-06-13,2018-07-04,2018-05-31,13
60.0,2018-08-01,2018-08-22,2018-07-19,13
61.0,2018-09-26,2018-10-17,2018-09-12,14
62.0,2018-11-08,2018-11-29,2018-10-25,14
63.0,2018-12-19,2019-01-09,2018-12-07,12
64.0,2019-01-30,2019-02-20,2019-01-10,20
65.0,2019-03-20,2019-04-10,2019-03-12,8
66.0,2019-05-01,2019-05-22,2019-04-11,20
67.0,2019-06-19,2019-07-10,2019-06-05,14
68.0,2019-07-31,2019-08-21,2019-07-16,15
69.0,2019-09-18,2019-10-09,2019-09-05,13
70.0,2019-10-30,2019-11-20,2019-10-21,9
71.0,2019-12-11,2020-01-01,2019-11-26,15
72.0,2020-01-29,2020-02-19,2020-01-17,12
73.0,2020-03-03,2020-03-24,2020-02-27,5
74.0,2020-03-15,2020-04-05,2020-02-27,17
75.0,2020-04-29,2020-05-20,2020-04-09,20
76.0,2020-06-10,2020-07-01,2020-05-21,20
77.0,2020-07-29,2020-08-19,2020-07-14,15
78.0,2020-09-16,2020-10-07,2020-09-01,15
79.0,2020-11-05,2020-11-26,2020-10-21,15
80.0,2020-12-16,2021-01-06,2020-12-11,5
81.0,2021-01-27,2021-02-17,2021-01-13,14
82.0,2021-03-17,2021-04-07,2021-03-02,15
83.0,2021-04-28,2021-05-19,2021-04-14,14
84.0,2021-06-16,2021-07-07,2021-06-03,13
85.0,2021-07-28,2021-08-18,2021-07-11,17
86.0,2021-09-22,2021-10-13,2021-09-09,13
87.0,2021-11-03,2021-11-24,2021-10-22,12
88.0,2021-12-15,2022-01-05,2021-12-02,13
89.0,2022-01-26,2022-02-16,2021-12-17,40
90.0,2022-03-16,2022-04-06,2022-02-24,20
91.0,2022-05-04,2022-05-25,2022-04-05,29
92.0,2022-06-15,2022-07-06,2022-06-03,12
93.0,2022-07-27,2022-08-17,2022-07-19,8
94.0,2022-09-21,2022-10-12,2022-09-09,12
95.0,2022-11-02,2022-11-23,2022-10-20,13
96.0,2022-12-14,2023-01-04,2022-12-01,13
97.0,2023-02-01,2023-02-22,2023-01-21,11
98.0,2023-03-22,2023-04-12,2023-03-14,8
99.0,2023-05-03,2023-05-24,2023-04-21,12
100.0,2023-06-14,2023-07-05,2023-05-31,14
101.0,2023-07-26,2023-08-16,2023-07-18,8
102.0,2023-09-20,2023-10-11,2023-09-08,12
103.0,2023-11-01,2023-11-22,2023-10-27,5
104.0,2023-12-13,2024-01-03,2023-12-05,8
105.0,2024-01-31,2024-02-21,2024-01-17,14
106.0,2024-03-20,2024-04-10,2024-03-07,13
107.0,2024-05-01,2024-05-22,2024-04-18,13
108.0,2024-06-12,2024-07-03,2024-06-07,5
109.0,2024-07-31,2024-08-21,2024-07-24,7
110.0,2024-09-18,2024-10-09,2024-09-10,8
111.0,2024-11-07,2024-11-28,2024-10-23,15
112.0,2024-12-18,2025-01-08,2024-12-03,15
113.0,2025-01-29,2025-02-19,2025-01-09,20
114.0,2025-03-19,2025-04-09,2025-03-07,12
115.0,2025-05-07,2025-05-28,2025-05-03,4
116.0,2025-06-18,2025-07-09,2025-06-06,12
117.0,2025-07-30,2025-08-20,2025-07-22,8
118.0,2025-09-17,2025-10-08,2025-08-28,20
119.0,2025-10-29,2025-11-19,2025-10-23,6
120.0,2025-12-10,2025-12-31,2025-12-01,9
